"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Luke",1.4838,19,11,10000,6233,3544,0,10000,1,0.623,0.354,0
"Paul",1.5668,19,11,9999,5916,3020,0,10000,1,0.592,0.302,0
"Lester",4.3517,14,6,6068,2572,1197,264,10000,0.607,0.257,0.12,0.026
"James",4.2935,14,6,6275,2480,1065,229,10000,0.627,0.248,0.106,0.023
"Mark",5.2487,13,5,3527,1432,665,890,10000,0.353,0.143,0.066,0.089
"Anthony",5.645,13,5,2441,814,327,1231,10000,0.244,0.081,0.033,0.123
"Jordan",6.5975,12,4,908,310,122,3232,10000,0.091,0.031,0.012,0.323
"Simon",6.813,12,4,782,243,85,4154,10000,0.078,0.024,0.009,0.415
