"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Luke",1.3123,17,15,10000,6752,4163,0,10000,1,0.675,0.416,0
"Paul",1.6877,17,15,10000,5660,2654,0,10000,1,0.566,0.265,0
"Lester",3.1061,12,10,9983,4149,1755,0,10000,0.998,0.415,0.176,0
"James",4.0139,11,9,8835,3140,1338,0,10000,0.883,0.314,0.134,0
"Anthony",5.0648,10,8,1182,299,112,0,10000,0.118,0.03,0.011,0
"Simon",6.5048,9,7,0,0,0,1246,10000,0,0,0,0.125
"Mark",7.0027,8,6,0,0,0,3457,10000,0,0,0,0.346
"Jordan",7.3077,8,6,0,0,0,5297,10000,0,0,0,0.53
