"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Luke",1.6286,20,8,9884,6513,3888,1,10000,0.988,0.651,0.389,0
"Paul",1.773,20,8,9835,5718,2736,2,10000,0.984,0.572,0.274,0
"Lester",5.5572,15,4,3086,1314,655,1795,10000,0.309,0.131,0.066,0.18
"James",5.5643,15,3,3085,1339,655,1808,10000,0.308,0.134,0.066,0.181
"Jordan",4.9224,15,4,4533,1582,633,1049,10000,0.453,0.158,0.063,0.105
"Mark",5.5807,15,3,3020,1213,549,1831,10000,0.302,0.121,0.055,0.183
"Simon",5.0777,16,4,4116,1403,522,1126,10000,0.412,0.14,0.052,0.113
"Anthony",5.8961,15,3,2441,918,381,2388,10000,0.244,0.092,0.038,0.239
