"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Luke",1.5506,20,9,9962,6597,3743,0,10000,0.996,0.66,0.374,0
"Paul",1.621,20,9,9955,6115,3220,0,10000,0.996,0.612,0.322,0
"Lester",4.9318,15,4,4582,1888,876,969,10000,0.458,0.189,0.088,0.097
"James",5.0548,15,4,4249,1694,730,1017,10000,0.425,0.169,0.073,0.102
"Jordan",5.3117,15,4,3619,1197,453,1271,10000,0.362,0.12,0.045,0.127
"Mark",5.8436,14,3,2501,974,445,2172,10000,0.25,0.097,0.044,0.217
"Simon",5.4526,15,4,3365,997,358,1571,10000,0.336,0.1,0.036,0.157
"Anthony",6.2339,14,3,1767,538,204,3000,10000,0.177,0.054,0.02,0.3
