"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Luke",1.8224,19,8,9663,6072,3783,6,10000,0.966,0.607,0.378,0.001
"Paul",2.0198,19,8,9514,5225,2496,10,10000,0.951,0.522,0.25,0.001
"Jordan",4.58,17,4,5134,2087,855,728,10000,0.513,0.209,0.086,0.073
"Mark",5.185,16,3,3717,1653,785,1187,10000,0.372,0.165,0.078,0.119
"Simon",4.6418,17,5,4984,1891,737,781,10000,0.498,0.189,0.074,0.078
"Lester",5.2697,15,4,3576,1594,725,1350,10000,0.358,0.159,0.072,0.135
"James",6.0911,15,2,1957,888,418,2625,10000,0.196,0.089,0.042,0.262
"Anthony",6.3902,14,2,1455,590,224,3313,10000,0.146,0.059,0.022,0.331
