"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.6352,19,6,8313,4652,2464,165,10000,0.831,0.465,0.246,0.016
"Luke",3.3608,19,5,7169,4017,2196,348,10000,0.717,0.402,0.22,0.035
"Lester",4.4542,18,3,5177,2521,1221,1032,10000,0.518,0.252,0.122,0.103
"Jordan",4.5499,18,4,4893,2259,1048,1075,10000,0.489,0.226,0.105,0.108
"Mark",5.3157,17,3,3482,1752,899,1884,10000,0.348,0.175,0.09,0.188
"Simon",4.6874,18,4,4658,1945,863,1169,10000,0.466,0.194,0.086,0.117
"James",5.4524,17,2,3251,1479,708,2124,10000,0.325,0.148,0.071,0.212
"Anthony",5.5444,17,2,3057,1375,623,2203,10000,0.306,0.138,0.062,0.22
