id,feed_id,player_name,last_name,team,pos,avg,avg3,avg5,Median,user_team_id,user,Bye,,user_team_id,,,team,
560,294318,O.Wines,Wines,PTA,MID,106.375,127.667,112.4,99,719,Kappaz,13,,,,,,
702,996708,B.Dale,Dale,WBD,DEF,96.4444,117,107.6,98,715,Melons,15,,,,,,
749,298268,L.Duggan,Duggan,WCE,DEF,96.6667,104,94.6,98,719,Kappaz,14,,,,,,
652,1006028,N.Blakey,Blakey,SYD,DEF,101.556,90.6667,104.4,98,716,Garter,12,,,,,,
16,1004863,M.Hinge,Hinge,ADE,DEF,93.2222,78,89.6,98,720,Jmerc,15,,,,,,
425,297566,J.Sicily,Sicily,HAW,DEF,94.5,104.667,100.2,97.5,715,Melons,15,,,,,,
289,1007881,W.Powell,Powell,GCS,DEF,93,92.3333,82.2,97.5,716,Garter,14,,,,,,
194,998102,A.McGrath,McGrath,ESS,DEF,103.111,109.333,104.6,97.5,716,Garter,14,,,,,,
325,1015889,M.Holmes,Holmes,GEE,DEF/MID,98.7778,105.333,100.2,97.5,718,Chief,14,,,,,,
594,1000981,D.Rioli,Rioli,RIC,DEF,91.1111,88,95.6,97,720,Jmerc,15,,,,,,
643,1015507,N.Wanganeen-Milera,Wanganeen-Milera,STK,DEF,99.7778,103.333,94.4,97,715,Melons,15,,,,,,
712,294101,J.Johannisen,Johannisen,WBD,DEF,79.2222,52,74.8,97,,,15,,,,,,
115,1000953,H.McKay,McKay,CAR,FWD,97.2222,82.3333,84.2,97,719,Kappaz,14,,,,,,
552,1001299,C.Rozee,Rozee,PTA,MID,99,69.6667,97.2,96.5,715,Melons,13,,,,,,
590,298174,T.Nankervis,Nankervis,RIC,RUC,100.5,92.6667,99.6,96,716,Garter,15,,,,,,
762,295898,T.Kelly,Kelly,WCE,MID,93.5556,82,93.8,96,717,Lester,14,,,,,,
483,1002267,L.Davies-Uniacke,Davies-Uniacke,NTH,MID,97.7778,103.667,99.8,95.5,718,Chief,12,,,,,,
87,296294,B.Acres,Acres,CAR,MID,98.3333,106.667,103.8,95.5,713,Pmac,14,,,,,,
531,1000972,W.Drew,Drew,PTA,MID,97.5556,87,82.2,95.5,716,Garter,13,,,,,,
9,992242,J.Dawson,Dawson,ADE,MID,104.444,121,119,95,714,Richo,15,,,,,,
536,1011640,J.Horne-Francis,Horne-Francis,PTA,MID,104.571,103,97.6,95,718,Chief,13,,,,,,
686,1006126,J.Rowbottom,Rowbottom,SYD,MID,94.7778,92.3333,96,94.5,713,Pmac,12,,,,,,
555,998529,I.Soldo,Soldo,PTA,RUC,86.5,79.3333,78.8,94,,,13,,,,,,
320,1004870,Z.Guthrie,Guthrie,GEE,DEF,89.7778,104.667,93.8,94,713,Pmac,14,,,,,,
37,1017109,J.Soligo,Soligo,ADE,MID,88.6667,109.333,104.6,94,719,Kappaz,15,,,,,,
99,996731,C.Curnow,Curnow,CAR,FWD,93.3333,90,91.4,93,718,Chief,14,,,,,,
562,1000223,L.Baker,Baker,RIC,DEF/FWD,83,84,97,93,715,Melons,15,,,,,,
42,1011981,J.Worrell,Worrell,ADE,DEF,86.6667,84.6667,87.4,93,,,15,,,,,,
100,1004912,T.De Koning,De Koning,CAR,RUC,89.4444,79.3333,85.4,93,716,Garter,14,,,,,,
154,992010,B.Maynard,Maynard,COL,DEF,91.8889,81,83.4,92.5,714,Richo,15,,,,,,
48,998133,J.Berry,Berry,BRL,MID,89.1111,101.667,104,92.5,715,Melons,12,,,,,,
93,1002239,A.Cerra,Cerra,CAR,MID,93.1667,85,93.4,92,719,Kappaz,14,,,,,,
184,290629,D.Heppell,Heppell,ESS,DEF,89.4444,75.3333,75.6,92,720,Jmerc,14,,,,,,
258,1017396,M.Andrew,Andrew,GCS,DEF,90.6667,82.6667,88.6,92,718,Chief,14,,,,,,
432,1002222,J.Worpel,Worpel,HAW,MID,87.6667,80.6667,71.4,91.5,716,Garter,15,,,,,,
775,996554,J.Waterman,Waterman,WCE,FWD,96.375,105,109,91.5,720,Jmerc,14,,,,,,
173,1006103,J.Caldwell,Caldwell,ESS,MID/FWD,88.5556,82.6667,92,91,720,Jmerc,14,,,,,,
212,295067,J.Aish,Aish,FRE,DEF/MID,85.8889,100.667,76.8,91,713,Pmac,13,,,,,,
305,998260,J.Bowes,Bowes,GEE,DEF/MID,87.5,98.6667,98,91,719,Kappaz,14,,,,,,
120,297907,N.Newman,Newman,CAR,DEF,95.1111,106.667,104.8,90.5,714,Richo,14,,,,,,
230,1009399,L.Jackson,Jackson,FRE,RUC/FWD,99.2222,83.6667,82.6,90.5,719,Kappaz,13,,,,,,
31,1001195,I.Rankine,Rankine,ADE,FWD,98.6667,116,110.8,90.5,713,Pmac,15,,,,,,
200,997078,M.Redman,Redman,ESS,DEF,89.375,96.3333,97,90,715,Melons,14,,,,,,
124,295461,A.Saad,Saad,CAR,DEF,78.2,77.3333,80.5,90,,,14,,,,,,
450,298281,J.Lever,Lever,MEL,DEF,82.8889,101.333,91,90,714,Richo,14,,,,,,
287,1021013,N.Moyle,Moyle,GCS,RUC,90,90,90,90,717,Lester,14,,,,,,
639,994389,J.Sinclair,Sinclair,STK,DEF,97.875,110,98.4,89,713,Pmac,15,,,,,,
522,1009191,M.Bergman,Bergman,PTA,DEF/MID,81.4444,90.6667,89.6,89,718,Chief,13,,,,,,
178,1015810,S.Durham,Durham,ESS,MID,85,89.6667,93.6,89,720,Jmerc,14,,,,,,
423,998114,J.Scrimshaw,Scrimshaw,HAW,DEF,85.3333,88.6667,89,88,720,Jmerc,15,,,,,,
