"season","round","fixture","user_team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt","sim_pos","sim_finals","sim_gfinal","sim_champ","sim_spoon"
2016,5,2,,"Brave Hartung","Luke",1675,,"Cotch Me If Ya Can","Jordan",1554,121,1,0,0,1,20,5,0,0,8425,7721,109.12,2.34,0.87328,0.44645,0.22398,0.01074
2016,5,1,,"Bontback Mountain","Anthony",1539,,"Steele Rebuilding","Lester",1675,-136,0,0,1,2,12,3,0,2,8405,8190,102.63,3.93,0.61403,0.32056,0.16717,0.06496
2016,5,4,,"Gawn Girl","Simon",1610,,"We're Not Gwilty","James",1565,45,1,0,0,3,12,3,0,2,8007,8428,95,4.09,0.5863,0.27969,0.1335,0.07203
2016,5,3,,"Such is Fyfe","Paul",1685,,"Game of Jones","Mark",1550,135,1,0,0,4,8,2,0,3,8076,7908,102.12,4.95,0.41679,0.20718,0.10283,0.14472
2016,5,4,,"We're Not Gwilty","James",1565,,"Gawn Girl","Simon",1610,-45,0,0,1,5,8,2,0,3,8005,8000,100.06,4.98,0.41377,0.20275,0.10091,0.14914
2016,5,2,,"Cotch Me If Ya Can","Jordan",1554,,"Brave Hartung","Luke",1675,-121,0,0,1,6,8,2,0,3,7976,8201,97.26,4.99,0.41094,0.19945,0.09781,0.15162
2016,5,1,,"Steele Rebuilding","Lester",1675,,"Bontback Mountain","Anthony",1539,136,1,0,0,7,8,2,0,3,8030,8371,95.93,4.98,0.41328,0.20273,0.09938,0.15149
2016,5,3,,"Game of Jones","Mark",1550,,"Such is Fyfe","Paul",1685,-135,0,0,1,8,4,1,0,4,8233,8338,98.74,5.74,0.27161,0.14119,0.07442,0.2553
2016,6,2,,"Brave Hartung","Luke",1661,,"Game of Jones","Mark",1692,-31,0,0,1,1,20,5,0,1,10086,9413,107.15,2.63,0.83049,0.42895,0.21677,0.01578
2016,6,1,,"Gawn Girl","Simon",1667,,"Bontback Mountain","Anthony",1582,85,1,0,0,2,16,4,0,2,9674,10010,96.64,3.64,0.66841,0.321,0.15314,0.05108
2016,6,4,,"Such is Fyfe","Paul",1614,,"We're Not Gwilty","James",1600,14,1,0,0,3,12,3,0,3,9690,9508,101.91,4.5,0.50234,0.24688,0.12093,0.10363
2016,6,1,,"Bontback Mountain","Anthony",1582,,"Gawn Girl","Simon",1667,-85,0,0,1,4,12,3,0,3,9987,9857,101.32,4.38,0.52691,0.27076,0.14114,0.09423
2016,6,3,,"Steele Rebuilding","Lester",1643,,"Cotch Me If Ya Can","Jordan",1515,128,1,0,0,5,12,3,0,3,9673,9886,97.85,4.54,0.49624,0.2445,0.11951,0.10811
2016,6,4,,"We're Not Gwilty","James",1600,,"Such is Fyfe","Paul",1614,-14,0,0,1,6,8,2,0,4,9605,9614,99.91,5.47,0.31964,0.15803,0.07987,0.21167
2016,6,2,,"Game of Jones","Mark",1692,,"Brave Hartung","Luke",1661,31,1,0,0,7,8,2,0,4,9925,9999,99.26,5.32,0.34794,0.181,0.09441,0.1951
2016,6,3,,"Cotch Me If Ya Can","Jordan",1515,,"Steele Rebuilding","Lester",1643,-128,0,0,1,8,8,2,0,4,9491,9844,96.41,5.53,0.30803,0.14888,0.07423,0.2204
2016,7,4,,"Brave Hartung","Luke",1477,,"Such is Fyfe","Paul",1624,-147,0,0,1,1,20,5,0,2,11563,11037,104.77,3.05,0.7696,0.38831,0.19586,0.02273
2016,7,2,,"Gawn Girl","Simon",1790,,"Cotch Me If Ya Can","Jordan",1207,583,1,0,0,2,20,5,0,2,11464,11217,102.2,3.09,0.76332,0.3813,0.18677,0.0237
2016,7,4,,"Such is Fyfe","Paul",1624,,"Brave Hartung","Luke",1477,147,1,0,0,3,16,4,0,3,11314,10985,102.99,4.05,0.58901,0.28653,0.13918,0.06287
2016,7,1,,"Bontback Mountain","Anthony",1675,,"We're Not Gwilty","James",1674,1,1,0,0,4,16,4,0,3,11662,11531,101.14,3.87,0.62204,0.32315,0.16784,0.05316
2016,7,3,,"Game of Jones","Mark",1549,,"Steele Rebuilding","Lester",1524,25,1,0,0,5,12,3,0,4,11474,11523,99.57,4.89,0.41907,0.21495,0.11044,0.12498
2016,7,3,,"Steele Rebuilding","Lester",1524,,"Game of Jones","Mark",1549,-25,0,0,1,6,12,3,0,4,11197,11435,97.92,5.03,0.39433,0.19154,0.09409,0.13955
2016,7,1,,"We're Not Gwilty","James",1674,,"Bontback Mountain","Anthony",1675,-1,0,0,1,7,8,2,0,5,11279,11289,99.91,5.88,0.24128,0.12178,0.06301,0.26138
2016,7,2,,"Cotch Me If Ya Can","Jordan",1207,,"Gawn Girl","Simon",1790,-583,0,0,1,8,8,2,0,5,10698,11634,91.95,6.13,0.20135,0.09244,0.04281,0.31163
2016,8,4,,"Such is Fyfe","Paul",1807,,"Bontback Mountain","Anthony",1546,261,1,0,0,1,20,5,0,3,13121,12531,104.71,3.49,0.68719,0.34553,0.17357,0.03524
2016,8,3,,"Brave Hartung","Luke",1579,,"Steele Rebuilding","Lester",1699,-120,0,0,1,2,20,5,0,3,13142,12736,103.19,3.47,0.68959,0.34766,0.17345,0.03482
