SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS,SC COACH
2017,14,Absolute Steins,B.Smith,ADE,DEF,65,60,LESTER
2017,14,Absolute Steins,J.Lever,ADE,DEF,91,71,LESTER
2017,14,Absolute Steins,D.Sheed,WCE,MID,104,100,LESTER
2017,14,Absolute Steins,L.Shuey,WCE,MID,90,87,LESTER
2017,14,Absolute Steins,E.Yeo,WCE,FWD,121,94,LESTER
2017,14,Absolute Steins,J.Roughead,HAW,BEN,100,57,LESTER
2017,14,Absolute Steins,T.Goldstein,NTH,BEN,105,91,LESTER
2017,14,Absolute Steins,J.Kelly,GWS,BEN,117,0,LESTER
2017,14,Absolute Steins,A.Hall,GCS,BEN,102,0,LESTER
2017,15,Absolute Steins,L.Shiels,HAW,MID,78,64,LESTER
2017,15,Absolute Steins,T.Langdon,COL,DEF,70,78,LESTER
2017,15,Absolute Steins,B.Vince,MEL,DEF,87,74,LESTER
2017,15,Absolute Steins,L.Jones,CAR,FWD,74,117,LESTER
2017,15,Absolute Steins,M.Murphy,CAR,MID,97,112,LESTER
2017,15,Absolute Steins,M.Kreuzer,CAR,RUC,138,90,LESTER
2017,15,Absolute Steins,D.Hannebery,SYD,MID,79,75,LESTER
2017,15,Absolute Steins,L.Franklin,SYD,FWD,102,122,LESTER
2017,15,Absolute Steins,N.Haynes,GWS,DEF,88,108,LESTER
2017,15,Absolute Steins,J.Kelly,GWS,MID,110,108,LESTER
2017,15,Absolute Steins,M.Johnson,FRE,DEF,87,101,LESTER
2017,15,Absolute Steins,B.Hill,FRE,FWD,104,88,LESTER
2017,15,Absolute Steins,M.Walters,FRE,FWD,110,172,LESTER
2017,15,Absolute Steins,J.Steven,STK,MID,70,77,LESTER
2017,15,Absolute Steins,J.Lever,ADE,DEF,94,80,LESTER
2017,15,Absolute Steins,D.Sheed,WCE,MID,104,85,LESTER
2017,15,Absolute Steins,L.Shuey,WCE,MID,88,85,LESTER
2017,15,Absolute Steins,E.Yeo,WCE,FWD,128,99,LESTER
2017,15,Absolute Steins,T.Goldstein,NTH,BEN,98,100,LESTER
2017,15,Absolute Steins,J.Selwood,GEE,BEN,107,0,LESTER
2017,15,Absolute Steins,Z.Williams,GWS,BEN,89,0,LESTER
2017,15,Absolute Steins,B.Houli,RIC,BEN,125,0,LESTER
2017,16,Absolute Steins,T.Langdon,COL,DEF,70,85,LESTER
2017,16,Absolute Steins,B.Vince,MEL,DEF,86,77,LESTER
2017,16,Absolute Steins,T.Rockliff,BRL,MID,66,90,LESTER
2017,16,Absolute Steins,L.Jones,CAR,FWD,80,65,LESTER
2017,16,Absolute Steins,M.Kreuzer,CAR,RUC,128,103,LESTER
2017,16,Absolute Steins,M.Murphy,CAR,MID,109,141,LESTER
2017,16,Absolute Steins,L.Franklin,SYD,FWD,101,101,LESTER
2017,16,Absolute Steins,D.Hannebery,SYD,MID,71,73,LESTER
2017,16,Absolute Steins,J.Selwood,GEE,MID,105,120,LESTER
2017,16,Absolute Steins,J.Kelly,GWS,MID,116,134,LESTER
2017,16,Absolute Steins,N.Haynes,GWS,DEF,75,47,LESTER
2017,16,Absolute Steins,M.Johnson,FRE,DEF,90,78,LESTER
2017,16,Absolute Steins,M.Walters,FRE,FWD,122,106,LESTER
2017,16,Absolute Steins,B.Hill,FRE,FWD,117,92,LESTER
2017,16,Absolute Steins,J.Lever,ADE,DEF,92,111,LESTER
2017,16,Absolute Steins,L.Shuey,WCE,MID,87,73,LESTER
2017,16,Absolute Steins,D.Sheed,WCE,MID,98,57,LESTER
2017,16,Absolute Steins,E.Yeo,WCE,FWD,123,87,LESTER
2017,16,Absolute Steins,L.Taylor,BRL,BEN,102,55,LESTER
2017,16,Absolute Steins,T.Goldstein,NTH,BEN,106,129,LESTER
2017,16,Absolute Steins,K.Jack,SYD,BEN,85,96,LESTER
2017,16,Absolute Steins,B.Houli,RIC,BEN,125,0,LESTER
2017,17,Absolute Steins,S.Biggs,WBD,DEF,82,88,LESTER
2017,17,Absolute Steins,T.Langdon,COL,DEF,70,54,LESTER
2017,17,Absolute Steins,T.Rockliff,BRL,MID,60,57,LESTER
2017,17,Absolute Steins,L.Jones,CAR,FWD,73,62,LESTER
2017,17,Absolute Steins,M.Kreuzer,CAR,RUC,126,120,LESTER
2017,17,Absolute Steins,M.Murphy,CAR,MID,108,83,LESTER
2017,17,Absolute Steins,L.Franklin,SYD,FWD,106,118,LESTER
2017,17,Absolute Steins,D.Hannebery,SYD,MID,72,105,LESTER
2017,17,Absolute Steins,J.Selwood,GEE,MID,97,94,LESTER
2017,17,Absolute Steins,J.Kelly,GWS,MID,113,88,LESTER
2017,17,Absolute Steins,N.Haynes,GWS,DEF,76,94,LESTER
2017,17,Absolute Steins,M.Johnson,FRE,DEF,86,68,LESTER
2017,17,Absolute Steins,M.Walters,FRE,FWD,124,88,LESTER
2017,17,Absolute Steins,B.Hill,FRE,FWD,119,85,LESTER
2017,17,Absolute Steins,J.Lever,ADE,DEF,89,66,LESTER
2017,17,Absolute Steins,L.Shuey,WCE,MID,81,64,LESTER
2017,17,Absolute Steins,D.Sheed,WCE,MID,94,86,LESTER
2017,17,Absolute Steins,E.Yeo,WCE,FWD,123,0,LESTER
2017,17,Absolute Steins,L.Taylor,BRL,BEN,96,84,LESTER
2017,17,Absolute Steins,T.Goldstein,NTH,BEN,99,62,LESTER
2017,17,Absolute Steins,K.Jack,SYD,BEN,92,104,LESTER
2017,17,Absolute Steins,B.Houli,RIC,BEN,125,0,LESTER
2017,18,Absolute Steins,S.Biggs,WBD,DEF,90,109,LESTER
2017,18,Absolute Steins,A.Witherden,BRL,DEF,87,86,LESTER
2017,18,Absolute Steins,T.Rockliff,BRL,MID,60,57,LESTER
2017,18,Absolute Steins,L.Jones,CAR,FWD,70,48,LESTER
2017,18,Absolute Steins,M.Kreuzer,CAR,RUC,123,128,LESTER
2017,18,Absolute Steins,M.Murphy,CAR,MID,106,88,LESTER
2017,18,Absolute Steins,L.Franklin,SYD,FWD,114,86,LESTER
2017,18,Absolute Steins,D.Hannebery,SYD,MID,77,96,LESTER
2017,18,Absolute Steins,K.Jack,SYD,MID,91,69,LESTER
2017,18,Absolute Steins,J.Selwood,GEE,MID,91,127,LESTER
2017,18,Absolute Steins,J.Kelly,GWS,MID,99,103,LESTER
2017,18,Absolute Steins,N.Haynes,GWS,DEF,70,70,LESTER
2017,18,Absolute Steins,J.Kelly,ESS,DEF,76,54,LESTER
2017,18,Absolute Steins,M.Johnson,FRE,DEF,82,57,LESTER
2017,18,Absolute Steins,M.Walters,FRE,FWD,114,47,LESTER
2017,18,Absolute Steins,B.Hill,FRE,FWD,111,69,LESTER
2017,18,Absolute Steins,L.Shuey,WCE,MID,76,91,LESTER
2017,18,Absolute Steins,E.Yeo,WCE,FWD,122,98,LESTER
2017,18,Absolute Steins,T.Goldstein,NTH,BEN,99,0,LESTER
2017,18,Absolute Steins,B.Houli,RIC,BEN,125,0,LESTER
2017,18,Absolute Steins,J.Lever,ADE,BEN,89,0,LESTER
2017,18,Absolute Steins,D.Sheed,WCE,BEN,89,101,LESTER
2017,19,Absolute Steins,S.Biggs,WBD,DEF,100,115,LESTER
2017,19,Absolute Steins,L.Taylor,BRL,FWD,102,94,LESTER
2017,19,Absolute Steins,T.Rockliff,BRL,MID,57,66,LESTER
2017,19,Absolute Steins,A.Witherden,BRL,DEF,93,103,LESTER
2017,19,Absolute Steins,M.Kreuzer,CAR,RUC,110,74,LESTER
2017,19,Absolute Steins,L.Jones,CAR,FWD,69,78,LESTER
2017,19,Absolute Steins,M.Murphy,CAR,MID,112,105,LESTER
2017,19,Absolute Steins,L.Franklin,SYD,FWD,110,65,LESTER
2017,19,Absolute Steins,D.Hannebery,SYD,MID,73,74,LESTER
2017,19,Absolute Steins,J.Selwood,GEE,MID,90,65,LESTER
2017,19,Absolute Steins,J.Kelly,GWS,MID,101,106,LESTER
2017,19,Absolute Steins,N.Haynes,GWS,DEF,86,101,LESTER
2017,19,Absolute Steins,J.Kelly,ESS,DEF,76,65,LESTER
2017,19,Absolute Steins,B.Hill,FRE,FWD,102,92,LESTER
2017,19,Absolute Steins,B.Houli,RIC,DEF,125,87,LESTER
2017,19,Absolute Steins,L.Shuey,WCE,MID,83,121,LESTER
2017,19,Absolute Steins,D.Sheed,WCE,MID,89,100,LESTER
2017,19,Absolute Steins,E.Yeo,WCE,FWD,113,80,LESTER
2017,19,Absolute Steins,T.Goldstein,NTH,BEN,99,0,LESTER
2017,19,Absolute Steins,K.Jack,SYD,BEN,90,54,LESTER
2017,19,Absolute Steins,M.Johnson,FRE,BEN,84,87,LESTER
2017,19,Absolute Steins,J.Lever,ADE,BEN,89,0,LESTER
2017,20,Absolute Steins,S.Biggs,WBD,DEF,100,83,LESTER
2017,20,Absolute Steins,D.Wells,COL,MID,57,20,LESTER
2017,20,Absolute Steins,L.Taylor,BRL,FWD,107,85,LESTER
2017,20,Absolute Steins,A.Witherden,BRL,DEF,88,69,LESTER
2017,20,Absolute Steins,M.Kreuzer,CAR,RUC,118,131,LESTER
2017,20,Absolute Steins,L.Jones,CAR,FWD,64,92,LESTER
2017,20,Absolute Steins,M.Murphy,CAR,MID,115,125,LESTER
2017,20,Absolute Steins,L.Franklin,SYD,FWD,92,42,LESTER
2017,20,Absolute Steins,D.Hannebery,SYD,MID,79,109,LESTER
2017,20,Absolute Steins,J.Selwood,GEE,MID,107,82,LESTER
2017,20,Absolute Steins,J.Kelly,GWS,MID,104,127,LESTER
2017,20,Absolute Steins,N.Haynes,GWS,DEF,76,59,LESTER
2017,20,Absolute Steins,M.Johnson,FRE,DEF,76,64,LESTER
2017,20,Absolute Steins,B.Hill,FRE,FWD,103,93,LESTER
2017,20,Absolute Steins,B.Houli,RIC,DEF,109,51,LESTER
2017,20,Absolute Steins,L.Shuey,WCE,MID,82,79,LESTER
2017,20,Absolute Steins,D.Sheed,WCE,MID,87,77,LESTER
2017,20,Absolute Steins,E.Yeo,WCE,FWD,112,88,LESTER
2017,20,Absolute Steins,T.Rockliff,BRL,BEN,59,99,LESTER
2017,20,Absolute Steins,T.Goldstein,NTH,BEN,94,88,LESTER
2017,20,Absolute Steins,K.Jack,SYD,BEN,80,76,LESTER
2017,20,Absolute Steins,J.Lever,ADE,BEN,84,77,LESTER
2017,21,Absolute Steins,S.Biggs,WBD,DEF,95,75,LESTER
2017,21,Absolute Steins,L.Taylor,BRL,FWD,126,129,LESTER
2017,21,Absolute Steins,T.Rockliff,BRL,MID,64,125,LESTER
2017,21,Absolute Steins,M.Kreuzer,CAR,RUC,125,133,LESTER
2017,21,Absolute Steins,L.Jones,CAR,FWD,67,80,LESTER
2017,21,Absolute Steins,M.Murphy,CAR,MID,112,128,LESTER
2017,21,Absolute Steins,L.Franklin,SYD,FWD,107,164,LESTER
2017,21,Absolute Steins,D.Hannebery,SYD,MID,87,117,LESTER
2017,21,Absolute Steins,S.Selwood,GEE,MID,93,94,LESTER
2017,21,Absolute Steins,J.Kelly,GWS,MID,104,132,LESTER
2017,21,Absolute Steins,N.Haynes,GWS,DEF,83,82,LESTER
2017,21,Absolute Steins,M.Johnson,FRE,DEF,68,42,LESTER
2017,21,Absolute Steins,B.Hill,FRE,FWD,89,34,LESTER
2017,21,Absolute Steins,B.Houli,RIC,DEF,97,80,LESTER
2017,21,Absolute Steins,J.Lever,ADE,DEF,85,75,LESTER
2017,21,Absolute Steins,L.Shuey,WCE,MID,87,100,LESTER
2017,21,Absolute Steins,D.Sheed,WCE,MID,87,58,LESTER
2017,21,Absolute Steins,E.Yeo,WCE,FWD,110,94,LESTER
2017,21,Absolute Steins,D.Wells,COL,BEN,57,0,LESTER
2017,21,Absolute Steins,A.Witherden,BRL,BEN,88,0,LESTER
2017,21,Absolute Steins,T.Goldstein,NTH,BEN,82,32,LESTER
2017,21,Absolute Steins,Z.Jones,SYD,BEN,60,80,LESTER
2017,22,Absolute Steins,S.Biggs,WBD,DEF,91,68,LESTER
2017,22,Absolute Steins,L.Taylor,BRL,FWD,124,74,LESTER
2017,22,Absolute Steins,T.Rockliff,BRL,MID,67,76,LESTER
2017,22,Absolute Steins,A.Witherden,BRL,DEF,88,72,LESTER
2017,22,Absolute Steins,M.Kreuzer,CAR,RUC,118,89,LESTER
2017,22,Absolute Steins,M.Murphy,CAR,MID,115,93,LESTER
2017,22,Absolute Steins,L.Franklin,SYD,FWD,102,98,LESTER
2017,22,Absolute Steins,D.Hannebery,SYD,MID,83,82,LESTER
2017,22,Absolute Steins,S.Selwood,GEE,MID,98,93,LESTER
2017,22,Absolute Steins,J.Patton,GWS,FWD,75,63,LESTER
2017,22,Absolute Steins,J.Kelly,GWS,MID,114,144,LESTER
2017,22,Absolute Steins,N.Haynes,GWS,DEF,82,88,LESTER
2017,22,Absolute Steins,B.Hill,FRE,FWD,87,75,LESTER
2017,22,Absolute Steins,D.Prestia,RIC,MID,104,102,LESTER
2017,22,Absolute Steins,B.Houli,RIC,DEF,97,132,LESTER
2017,22,Absolute Steins,J.Lever,ADE,DEF,84,74,LESTER
2017,22,Absolute Steins,L.Shuey,WCE,MID,85,53,LESTER
2017,22,Absolute Steins,E.Yeo,WCE,FWD,119,124,LESTER
2017,22,Absolute Steins,L.Breust,HAW,BEN,87,42,LESTER
2017,22,Absolute Steins,T.Goldstein,NTH,BEN,81,92,LESTER
2017,22,Absolute Steins,Z.Jones,SYD,BEN,61,90,LESTER
2017,22,Absolute Steins,D.Sheed,WCE,BEN,87,84,LESTER
2017,1,I Dream of Viney,S.Pendlebury,COL,MID,120,146,RICHO
2017,1,I Dream of Viney,T.McDonald,MEL,DEF,82,78,RICHO
2017,1,I Dream of Viney,J.Viney,MEL,MID,92,93,RICHO
2017,1,I Dream of Viney,S.Martin,BRL,RUC,98,98,RICHO
2017,1,I Dream of Viney,J.Ziebell,NTH,MID,105,103,RICHO
2017,1,I Dream of Viney,D.Rampe,SYD,DEF,76,61,RICHO
2017,1,I Dream of Viney,S.Motlop,GEE,FWD,77,87,RICHO
2017,1,I Dream of Viney,H.Shaw,GWS,DEF,113,118,RICHO
2017,1,I Dream of Viney,C.Ward,GWS,MID,105,76,RICHO
2017,1,I Dream of Viney,S.Johnson,GWS,FWD,71,56,RICHO
2017,1,I Dream of Viney,C.Wingard,PTA,FWD,89,104,RICHO
2017,1,I Dream of Viney,J.Caddy,RIC,FWD,73,73,RICHO
2017,1,I Dream of Viney,D.Martin,RIC,MID,110,159,RICHO
2017,1,I Dream of Viney,J.Newnes,STK,MID,83,67,RICHO
2017,1,I Dream of Viney,S.Savage,STK,DEF,85,65,RICHO
2017,1,I Dream of Viney,T.Lynch,ADE,FWD,84,74,RICHO
2017,1,I Dream of Viney,M.Priddis,WCE,MID,108,88,RICHO
2017,1,I Dream of Viney,J.McGovern,WCE,DEF,93,98,RICHO
2017,1,I Dream of Viney,S.Atley,NTH,BEN,56,71,RICHO
2017,1,I Dream of Viney,T.Hawkins,GEE,BEN,93,102,RICHO
2017,1,I Dream of Viney,T.Boak,PTA,BEN,86,99,RICHO
2017,1,I Dream of Viney,D.Roberton,STK,BEN,80,70,RICHO
2017,2,I Dream of Viney,M.Adams,WBD,DEF,81,90,RICHO
2017,2,I Dream of Viney,S.Pendlebury,COL,MID,120,120,RICHO
2017,2,I Dream of Viney,J.Viney,MEL,MID,86,64,RICHO
2017,2,I Dream of Viney,T.McDonald,MEL,DEF,82,90,RICHO
2017,2,I Dream of Viney,S.Martin,BRL,RUC,105,126,RICHO
2017,2,I Dream of Viney,J.Ziebell,NTH,MID,100,72,RICHO
2017,2,I Dream of Viney,S.Motlop,GEE,FWD,77,83,RICHO
2017,2,I Dream of Viney,H.Shaw,GWS,DEF,102,53,RICHO
2017,2,I Dream of Viney,S.Johnson,GWS,FWD,72,91,RICHO
2017,2,I Dream of Viney,C.Ward,GWS,MID,105,106,RICHO
2017,2,I Dream of Viney,C.Wingard,PTA,FWD,89,83,RICHO
2017,2,I Dream of Viney,T.Boak,PTA,MID,86,95,RICHO
2017,2,I Dream of Viney,D.Martin,RIC,MID,112,118,RICHO
2017,2,I Dream of Viney,J.Caddy,RIC,FWD,73,92,RICHO
2017,2,I Dream of Viney,D.Roberton,STK,DEF,86,105,RICHO
2017,2,I Dream of Viney,T.Lynch,ADE,FWD,86,100,RICHO
2017,2,I Dream of Viney,M.Priddis,WCE,MID,108,110,RICHO
2017,2,I Dream of Viney,J.McGovern,WCE,DEF,94,93,RICHO
2017,2,I Dream of Viney,D.Rampe,SYD,BEN,76,0,RICHO
2017,2,I Dream of Viney,T.Hawkins,GEE,BEN,93,83,RICHO
2017,2,I Dream of Viney,S.Savage,STK,BEN,78,52,RICHO
2017,2,I Dream of Viney,J.Newnes,STK,BEN,78,61,RICHO
2017,3,I Dream of Viney,L.Picken,WBD,MID,75,30,RICHO
2017,3,I Dream of Viney,S.Pendlebury,COL,MID,121,125,RICHO
2017,3,I Dream of Viney,T.McDonald,MEL,DEF,79,72,RICHO
2017,3,I Dream of Viney,J.Viney,MEL,MID,86,98,RICHO
2017,3,I Dream of Viney,S.Martin,BRL,RUC,113,125,RICHO
2017,3,I Dream of Viney,J.Ziebell,NTH,MID,107,124,RICHO
2017,3,I Dream of Viney,S.Motlop,GEE,FWD,77,84,RICHO
2017,3,I Dream of Viney,S.Johnson,GWS,FWD,65,43,RICHO
2017,3,I Dream of Viney,C.Ward,GWS,MID,102,93,RICHO
2017,3,I Dream of Viney,H.Shaw,GWS,DEF,99,89,RICHO
2017,3,I Dream of Viney,H.Hartlett,PTA,DEF,94,93,RICHO
2017,3,I Dream of Viney,C.Wingard,PTA,FWD,88,73,RICHO
2017,3,I Dream of Viney,D.Martin,RIC,MID,121,155,RICHO
2017,3,I Dream of Viney,J.Caddy,RIC,FWD,64,35,RICHO
2017,3,I Dream of Viney,D.Roberton,STK,DEF,90,93,RICHO
2017,3,I Dream of Viney,T.Lynch,ADE,FWD,91,110,RICHO
2017,3,I Dream of Viney,M.Priddis,WCE,MID,107,105,RICHO
2017,3,I Dream of Viney,J.McGovern,WCE,DEF,86,52,RICHO
2017,3,I Dream of Viney,D.Rampe,SYD,BEN,79,0,RICHO
2017,3,I Dream of Viney,I.Heeney,SYD,BEN,81,0,RICHO
2017,3,I Dream of Viney,T.Hawkins,GEE,BEN,99,113,RICHO
2017,3,I Dream of Viney,D.Zaharakis,ESS,BEN,63,43,RICHO
2017,4,I Dream of Viney,S.Pendlebury,COL,MID,116,94,RICHO
2017,4,I Dream of Viney,T.McDonald,MEL,DEF,76,77,RICHO
2017,4,I Dream of Viney,J.Viney,MEL,MID,84,87,RICHO
2017,4,I Dream of Viney,S.Martin,BRL,RUC,122,131,RICHO
2017,4,I Dream of Viney,J.Ziebell,NTH,MID,105,86,RICHO
2017,4,I Dream of Viney,E.Curnow,CAR,MID,96,86,RICHO
2017,4,I Dream of Viney,S.Motlop,GEE,FWD,84,123,RICHO
2017,4,I Dream of Viney,T.Hawkins,GEE,FWD,104,106,RICHO
2017,4,I Dream of Viney,C.Ward,GWS,MID,94,65,RICHO
2017,4,I Dream of Viney,H.Shaw,GWS,DEF,93,79,RICHO
2017,4,I Dream of Viney,H.Hartlett,PTA,DEF,92,67,RICHO
2017,4,I Dream of Viney,C.Wingard,PTA,FWD,83,58,RICHO
2017,4,I Dream of Viney,D.Martin,RIC,MID,111,54,RICHO
2017,4,I Dream of Viney,J.Caddy,RIC,FWD,60,69,RICHO
2017,4,I Dream of Viney,D.Roberton,STK,DEF,100,126,RICHO
2017,4,I Dream of Viney,T.Lynch,ADE,FWD,87,67,RICHO
2017,4,I Dream of Viney,M.Priddis,WCE,MID,106,107,RICHO
2017,4,I Dream of Viney,J.McGovern,WCE,DEF,92,116,RICHO
2017,4,I Dream of Viney,D.Kent,MEL,BEN,88,66,RICHO
2017,4,I Dream of Viney,D.Rampe,SYD,BEN,75,0,RICHO
2017,4,I Dream of Viney,I.Heeney,SYD,BEN,93,0,RICHO
2017,4,I Dream of Viney,L.Dunstan,STK,BEN,77,55,RICHO
2017,5,I Dream of Viney,S.Biggs,WBD,DEF,69,66,RICHO
2017,5,I Dream of Viney,S.Pendlebury,COL,MID,106,67,RICHO
2017,5,I Dream of Viney,J.Viney,MEL,MID,83,89,RICHO
2017,5,I Dream of Viney,T.McDonald,MEL,DEF,80,109,RICHO
2017,5,I Dream of Viney,S.Martin,BRL,RUC,125,107,RICHO
2017,5,I Dream of Viney,J.Ziebell,NTH,MID,97,58,RICHO
2017,5,I Dream of Viney,E.Curnow,CAR,MID,85,51,RICHO
2017,5,I Dream of Viney,I.Heeney,SYD,FWD,93,75,RICHO
2017,5,I Dream of Viney,S.Motlop,GEE,FWD,79,59,RICHO
2017,5,I Dream of Viney,T.Hawkins,GEE,FWD,94,41,RICHO
2017,5,I Dream of Viney,C.Ward,GWS,MID,92,100,RICHO
2017,5,I Dream of Viney,H.Shaw,GWS,DEF,90,92,RICHO
2017,5,I Dream of Viney,C.Wingard,PTA,FWD,87,101,RICHO
2017,5,I Dream of Viney,D.Martin,RIC,MID,108,92,RICHO
2017,5,I Dream of Viney,D.Roberton,STK,DEF,108,116,RICHO
2017,5,I Dream of Viney,T.Lynch,ADE,FWD,87,88,RICHO
2017,5,I Dream of Viney,M.Priddis,WCE,MID,104,97,RICHO
2017,5,I Dream of Viney,J.McGovern,WCE,DEF,94,95,RICHO
2017,5,I Dream of Viney,D.Rich,BRL,BEN,74,65,RICHO
2017,5,I Dream of Viney,D.Rampe,SYD,BEN,79,0,RICHO
2017,5,I Dream of Viney,H.Hartlett,PTA,BEN,93,0,RICHO
2017,5,I Dream of Viney,J.Caddy,RIC,BEN,57,69,RICHO
2017,6,I Dream of Viney,S.Pendlebury,COL,MID,107,149,RICHO
2017,6,I Dream of Viney,T.McDonald,MEL,DEF,85,104,RICHO
2017,6,I Dream of Viney,J.Viney,MEL,MID,84,98,RICHO
2017,6,I Dream of Viney,S.Martin,BRL,RUC,119,68,RICHO
2017,6,I Dream of Viney,J.Ziebell,NTH,MID,97,103,RICHO
2017,6,I Dream of Viney,I.Heeney,SYD,FWD,85,107,RICHO
2017,6,I Dream of Viney,T.Hawkins,GEE,FWD,85,60,RICHO
2017,6,I Dream of Viney,S.Motlop,GEE,FWD,76,69,RICHO
2017,6,I Dream of Viney,C.Ward,GWS,MID,96,91,RICHO
2017,6,I Dream of Viney,H.Shaw,GWS,DEF,89,111,RICHO
2017,6,I Dream of Viney,C.Wingard,PTA,FWD,92,127,RICHO
2017,6,I Dream of Viney,J.Polec,PTA,MID,67,81,RICHO
2017,6,I Dream of Viney,H.Hartlett,PTA,DEF,96,96,RICHO
2017,6,I Dream of Viney,D.Martin,RIC,MID,96,93,RICHO
2017,6,I Dream of Viney,D.Roberton,STK,DEF,125,149,RICHO
2017,6,I Dream of Viney,T.Lynch,ADE,FWD,96,121,RICHO
2017,6,I Dream of Viney,M.Priddis,WCE,MID,111,120,RICHO
2017,6,I Dream of Viney,J.McGovern,WCE,DEF,99,121,RICHO
2017,6,I Dream of Viney,G.Birchall,HAW,BEN,77,0,RICHO
2017,6,I Dream of Viney,E.Curnow,CAR,BEN,95,103,RICHO
2017,6,I Dream of Viney,D.Rampe,SYD,BEN,79,0,RICHO
2017,6,I Dream of Viney,J.Caddy,RIC,BEN,56,67,RICHO
2017,7,I Dream of Viney,L.Picken,WBD,MID,70,69,RICHO
2017,7,I Dream of Viney,S.Pendlebury,COL,MID,101,91,RICHO
2017,7,I Dream of Viney,T.McDonald,MEL,DEF,83,81,RICHO
2017,7,I Dream of Viney,J.Viney,MEL,MID,95,123,RICHO
2017,7,I Dream of Viney,S.Martin,BRL,RUC,112,93,RICHO
2017,7,I Dream of Viney,J.Ziebell,NTH,MID,101,91,RICHO
2017,7,I Dream of Viney,I.Heeney,SYD,FWD,93,116,RICHO
2017,7,I Dream of Viney,T.Hawkins,GEE,FWD,83,70,RICHO
2017,7,I Dream of Viney,S.Motlop,GEE,FWD,74,74,RICHO
2017,7,I Dream of Viney,C.Ward,GWS,MID,95,103,RICHO
2017,7,I Dream of Viney,H.Shaw,GWS,DEF,97,94,RICHO
2017,7,I Dream of Viney,H.Hartlett,PTA,DEF,97,77,RICHO
2017,7,I Dream of Viney,C.Wingard,PTA,FWD,96,101,RICHO
2017,7,I Dream of Viney,D.Martin,RIC,MID,90,87,RICHO
2017,7,I Dream of Viney,D.Roberton,STK,DEF,123,96,RICHO
2017,7,I Dream of Viney,T.Lynch,ADE,FWD,86,50,RICHO
2017,7,I Dream of Viney,M.Priddis,WCE,MID,108,99,RICHO
2017,7,I Dream of Viney,J.McGovern,WCE,DEF,90,52,RICHO
2017,7,I Dream of Viney,G.Birchall,HAW,BEN,62,6,RICHO
2017,7,I Dream of Viney,C.Pedersen,MEL,BEN,78,87,RICHO
2017,7,I Dream of Viney,E.Curnow,CAR,BEN,93,93,RICHO
2017,7,I Dream of Viney,D.Rampe,SYD,BEN,79,0,RICHO
2017,8,I Dream of Viney,S.Pendlebury,COL,MID,92,76,RICHO
2017,8,I Dream of Viney,T.McDonald,MEL,DEF,88,96,RICHO
2017,8,I Dream of Viney,J.Viney,MEL,MID,101,130,RICHO
2017,8,I Dream of Viney,S.Martin,BRL,RUC,112,125,RICHO
2017,8,I Dream of Viney,J.Ziebell,NTH,MID,94,93,RICHO
2017,8,I Dream of Viney,E.Curnow,CAR,MID,83,68,RICHO
2017,8,I Dream of Viney,I.Heeney,SYD,FWD,106,130,RICHO
2017,8,I Dream of Viney,T.Hawkins,GEE,FWD,79,94,RICHO
2017,8,I Dream of Viney,S.Motlop,GEE,FWD,75,89,RICHO
2017,8,I Dream of Viney,C.Ward,GWS,MID,93,82,RICHO
2017,8,I Dream of Viney,H.Shaw,GWS,DEF,95,77,RICHO
2017,8,I Dream of Viney,H.Hartlett,PTA,DEF,81,51,RICHO
2017,8,I Dream of Viney,C.Wingard,PTA,FWD,91,73,RICHO
2017,8,I Dream of Viney,D.Martin,RIC,MID,80,105,RICHO
2017,8,I Dream of Viney,D.Roberton,STK,DEF,121,84,RICHO
2017,8,I Dream of Viney,T.Lynch,ADE,FWD,73,45,RICHO
2017,8,I Dream of Viney,M.Priddis,WCE,MID,108,106,RICHO
2017,8,I Dream of Viney,J.McGovern,WCE,DEF,97,87,RICHO
2017,8,I Dream of Viney,L.Picken,WBD,BEN,76,62,RICHO
2017,8,I Dream of Viney,B.Reid,COL,BEN,76,58,RICHO
2017,8,I Dream of Viney,C.Pedersen,MEL,BEN,90,108,RICHO
2017,8,I Dream of Viney,D.Rampe,SYD,BEN,79,0,RICHO
2017,9,I Dream of Viney,R.Henderson,HAW,DEF,77,62,RICHO
2017,9,I Dream of Viney,L.Picken,WBD,MID,67,64,RICHO
2017,9,I Dream of Viney,S.Pendlebury,COL,MID,101,142,RICHO
2017,9,I Dream of Viney,W.Hoskin-Elliott,COL,FWD,88,71,RICHO
2017,9,I Dream of Viney,J.Viney,MEL,MID,103,95,RICHO
2017,9,I Dream of Viney,T.McDonald,MEL,DEF,94,109,RICHO
2017,9,I Dream of Viney,S.Martin,BRL,RUC,107,107,RICHO
2017,9,I Dream of Viney,E.Curnow,CAR,MID,88,110,RICHO
2017,9,I Dream of Viney,I.Heeney,SYD,FWD,98,69,RICHO
2017,9,I Dream of Viney,T.Hawkins,GEE,FWD,72,74,RICHO
2017,9,I Dream of Viney,S.Motlop,GEE,FWD,64,63,RICHO
2017,9,I Dream of Viney,C.Ward,GWS,MID,92,62,RICHO
2017,9,I Dream of Viney,H.Shaw,GWS,DEF,94,73,RICHO
2017,9,I Dream of Viney,D.Martin,RIC,MID,97,144,RICHO
2017,9,I Dream of Viney,D.Roberton,STK,DEF,120,119,RICHO
