feed_id,season,round,pts,median,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position,na_flg,na_streak,pts_adj,median_adj,median_fnl,n,scr,pos_scr,scr_pos,weight,scr_wgt,rank,x
296347,2022,2,117,109,378,Josh,Kelly,GWS,MID,,,117,116.5,116.5,116.5,582200,14003,Bring Me To Fyfe,Luke,TRUE,scoring,MID,FALSE,4,117,109,109,1,1.164,0.694,MID,0.391,0.9802299999999999,26,PREMO
293957,2022,2,101,107,149,Brodie,Grundy,COL,RUC,,,101,112.5,112.5,112.5,627100,10883,Love is Hind,Lester,TRUE,scoring,RUC,FALSE,11,101,107,107,1,1.006,0.704,RUC,0.087,0.979726,27,PREMO
297566,2022,2,84,105,433,James,Sicily,HAW,DEF,,,84,94.5,94.5,94.5,448100,10882,Take Me To Parish,James,TRUE,scoring,DEF,FALSE,2,84,63.5,105,1,0.848,1.211,DEF,0.261,0.9427430000000001,28,PREMO
992242,2022,2,99,105,8,Jordan,Dawson,ADE,DEF,,,99,98.5,98.5,98.5,550300,10836,Cumming for the DB,Anthony,TRUE,scoring,DEF,FALSE,11,99,105,105,1,0.848,1.211,DEF,0.261,0.9427430000000001,29,PREMO
290550,2022,2,96,108,321,Cameron,Guthrie,GEE,MID,,,96,94,94,94,616700,5535,We're the Millers,Paul,TRUE,scoring,MID,FALSE,12,96,108,108,1,1.085,0.617,MID,0.391,0.9020119999999999,30,PREMO
993817,2022,2,110,108,204,Darcy,Parish,ESS,MID,,,110,104.5,104.5,104.5,621300,10882,Take Me To Parish,James,TRUE,scoring,MID,FALSE,12,110,108,108,1,1.085,0.617,MID,0.391,0.9020119999999999,31,PREMO
271045,2022,2,,107,757,Nic,Naitanui,WCE,RUC,,,,63,63,63,627400,10882,Take Me To Parish,James,FALSE,nonscoring,RUC,TRUE,1,75,106,106,1,0.927,0.596,RUC,0.087,0.8982030000000001,32,PREMO
295342,2022,2,102,104,665,Jake,Lloyd,SYD,DEF,,,102,102,102,102,586600,11125,No Way Sloane,Simon,TRUE,scoring,DEF,FALSE,1,102,100,104,1,0.769,1.113,DEF,0.261,0.858784,33,PREMO
992049,2022,2,136,104,601,Jayden,Short,RIC,DEF,,,136,122.5,122.5,122.5,535200,63015,Wolf of Walsh St,Jordan,TRUE,scoring,DEF,FALSE,11,136,104,104,1,0.769,1.113,DEF,0.261,0.858784,34,PREMO
290799,2022,2,131,107,713,Tom,Liberatore,WBD,MID,,,131,93.5,93.5,93.5,561700,11125,No Way Sloane,Simon,TRUE,scoring,MID,FALSE,7,131,100,107,1,1.006,0.541,MID,0.391,0.8241850000000001,35,PREMO
