"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","played","avg","avg3","avg5","price","season"
1000978,72,"Hugh","McCluggage","BRL","MID",,1,111,85,1,85,85,85,510700,"2020"
298539,698,"Isaac","Heeney","SYD","FWD","MID",1,106,152,1,152,152,152,510700,"2020"
295344,387,"Toby","Greene","GWS","FWD",,1,92,108,1,108,108,108,510100,"2020"
297566,455,"James","Sicily","HAW","DEF",,1,91,70,1,70,70,70,509500,"2020"
296351,643,"Jack","Billings","STK","MID",,1,95,120,1,120,120,120,509500,"2020"
293479,59,"Cameron","Ellis-Yolmen","BRL","MID",,1,93,,0,0,0,0,507200,"2020"
294429,653,"Luke","Dunstan","STK","MID",,1,96,92,1,92,92,92,505300,"2020"
293845,377,"Jeremy","Cameron","GWS","FWD",,1,80,70,1,70,70,70,503900,"2020"
261323,439,"Ben","McEvoy","HAW","RUC",,1,108,80,1,80,80,80,503600,"2020"
280763,69,"Stefan","Martin","BRL","RUC",,1,93,58,1,58,58,58,501100,"2020"
294674,637,"Nick","Vlastuin","RIC","DEF",,1,89,78,1,78,78,78,495500,"2020"
270919,587,"Tom","Rockliff","PTA","MID",,1,98,115,1,115,115,115,495400,"2020"
280944,548,"Jack","Ziebell","NTH","FWD","MID",1,85,19,1,19,19,19,493400,"2020"
270146,97,"Ed","Curnow","CAR","MID",,1,90,57,1,57,57,57,493200,"2020"
250105,115,"Marc","Murphy","CAR","MID",,1,86,101,1,101,101,101,492400,"2020"
296359,495,"Christian","Salem","MEL","DEF",,1,78,,0,0,0,0,491200,"2020"
294613,446,"Jaeger","O'Meara","HAW","MID",,1,100,112,1,112,112,112,491100,"2020"
281373,802,"Jack","Redden","WCE","MID",,1,84,36,1,36,36,36,485400,"2020"
994295,574,"Dan","Houston","PTA","DEF","MID",1,93,79,1,79,79,79,484800,"2020"
240052,256,"David","Mundy","FRE","MID",,1,98,,0,0,0,0,483500,"2020"
293871,146,"Jack","Crisp","COL","DEF",,1,94,62,1,62,62,62,482800,"2020"
291748,37,"Brodie","Smith","ADE","DEF",,1,81,55,1,55,55,55,481300,"2020"
298524,322,"Lachie","Weller","GCS","DEF",,1,89,61,1,61,61,61,481100,"2020"
294318,593,"Ollie","Wines","PTA","MID",,1,92,,0,0,0,0,479700,"2020"
290832,319,"David","Swallow","GCS","MID",,1,83,92,1,92,92,92,478900,"2020"
290032,617,"Kane","Lambert","RIC","FWD",,1,100,90,1,90,90,90,477900,"2020"
294036,699,"George","Hewett","SYD","MID",,1,95,,0,0,0,0,477600,"2020"
993799,289,"Brayden","Fiorini","GCS","MID",,1,99,71,1,71,71,71,477100,"2020"
290738,534,"Jared","Polec","NTH","MID",,1,89,98,1,98,98,98,476400,"2020"
294859,796,"Jeremy","McGovern","WCE","DEF",,1,87,83,1,83,83,83,475300,"2020"
295265,389,"Nick","Haynes","GWS","DEF",,1,94,114,1,114,114,114,474700,"2020"
994185,148,"Jordan","De Goey","COL","FWD",,1,83,66,1,66,66,66,473800,"2020"
991930,559,"Darcy","Byrne-Jones","PTA","DEF",,1,82,114,1,114,114,114,473400,"2020"
990740,251,"Rory","Lobb","FRE","RUC",,1,89,133,1,133,133,133,472800,"2020"
1006094,133,"Sam","Walsh","CAR","MID",,1,72,55,1,55,55,55,471900,"2020"
280737,454,"Liam","Shiels","HAW","MID",,1,93,127,1,127,127,127,471600,"2020"
293713,286,"Brandon","Ellis","GCS","MID",,1,96,79,1,79,79,79,470800,"2020"
291861,506,"Jed","Anderson","NTH","MID",,1,79,75,1,75,75,75,470200,"2020"
992242,690,"Jordan","Dawson","SYD","DEF","FWD",1,86,84,1,84,84,84,467800,"2020"
280317,363,"Rhys","Stanley","GEE","RUC",,1,88,,0,0,0,0,467300,"2020"
298264,481,"Ed","Langdon","MEL","MID",,1,84,120,1,120,120,120,466300,"2020"
250321,361,"Joel","Selwood","GEE","MID",,1,87,68,1,68,68,68,465600,"2020"
993817,214,"Darcy","Parish","ESS","FWD","MID",1,81,53,1,53,53,53,465400,"2020"
991988,660,"Zak","Jones","STK","MID",,1,75,113,1,113,113,113,465400,"2020"
261510,343,"Tom","Hawkins","GEE","FWD",,1,89,103,1,103,103,103,465000,"2020"
281091,293,"Hugh","Greenwood","GCS","FWD","MID",1,94,116,1,116,116,116,463100,"2020"
291526,334,"Luke","Dahlhaus","GEE","FWD",,1,78,98,1,98,98,98,462400,"2020"
998133,51,"Jarrod","Berry","BRL","MID",,1,82,52,1,52,52,52,461300,"2020"
298272,307,"Touk","Miller","GCS","MID",,1,95,111,1,111,111,111,460700,"2020"
261320,184,"Tom","Bellchambers","ESS","RUC",,1,93,101,1,101,101,101,460500,"2020"
