SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2018,5,Danger Things,S.Higgins,NTH,MID,98,62
2018,5,Danger Things,J.Caddy,RIC,BEN,95,0
2018,5,Danger Things,J.Viney,MEL,BEN,73,0
2018,5,Danger Things,T.Goldstein,NTH,BEN,95,77
2018,5,Danger Things,J.Webster,STK,BEN,79,0
2018,6,Danger Things,B.Goddard,ESS,MID,100,87
2018,6,Danger Things,J.Westhoff,PTA,FWD,107,147
2018,6,Danger Things,T.Stewart,GEE,DEF,84,80
2018,6,Danger Things,P.Dangerfield,GEE,MID,108,94
2018,6,Danger Things,J.Martin,GCS,FWD,85,49
2018,6,Danger Things,D.Astbury,RIC,DEF,86,30
2018,6,Danger Things,J.Caddy,RIC,FWD,89,111
2018,6,Danger Things,T.Cotchin,RIC,MID,104,110
2018,6,Danger Things,A.Treloar,COL,MID,130,149
2018,6,Danger Things,S.Burgoyne,HAW,MID,103,66
2018,6,Danger Things,C.Sinclair,SYD,RUC,106,128
2018,6,Danger Things,M.Robinson,BRL,FWD,102,130
2018,6,Danger Things,C.Masten,WCE,MID,81,76
2018,6,Danger Things,E.Yeo,WCE,DEF,114,94
2018,6,Danger Things,L.Whitfield,GWS,MID,94,125
2018,6,Danger Things,M.de Boer,GWS,FWD,97,113
2018,6,Danger Things,J.Macmillan,NTH,DEF,80,36
2018,6,Danger Things,J.Webster,STK,DEF,89,112
2018,6,Danger Things,H.Andrews,BRL,BEN,78,82
2018,6,Danger Things,J.Viney,MEL,BEN,73,0
2018,6,Danger Things,T.Greene,GWS,BEN,81,0
2018,6,Danger Things,S.Higgins,NTH,BEN,98,0
2018,7,Danger Things,B.Goddard,ESS,MID,104,89
2018,7,Danger Things,J.Westhoff,PTA,FWD,102,85
2018,7,Danger Things,T.Stewart,GEE,DEF,79,83
2018,7,Danger Things,P.Dangerfield,GEE,MID,104,108
2018,7,Danger Things,J.Martin,GCS,FWD,80,91
2018,7,Danger Things,J.Caddy,RIC,FWD,106,88
2018,7,Danger Things,A.Treloar,COL,MID,131,110
2018,7,Danger Things,E.Langdon,FRE,MID,80,54
2018,7,Danger Things,P.Seedsman,ADE,DEF,108,87
2018,7,Danger Things,C.Sinclair,SYD,RUC,114,115
2018,7,Danger Things,H.Andrews,BRL,DEF,78,80
2018,7,Danger Things,M.Robinson,BRL,FWD,106,100
2018,7,Danger Things,E.Yeo,WCE,DEF,116,111
2018,7,Danger Things,L.Whitfield,GWS,MID,88,82
2018,7,Danger Things,M.de Boer,GWS,FWD,92,54
2018,7,Danger Things,S.Higgins,NTH,MID,103,123
2018,7,Danger Things,J.Macmillan,NTH,DEF,81,73
2018,7,Danger Things,J.Steven,STK,MID,93,101
2018,7,Danger Things,M.Barlow,GCS,BEN,82,0
2018,7,Danger Things,T.Cotchin,RIC,BEN,104,0
2018,7,Danger Things,B.Crouch,ADE,BEN,121,0
