SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2019,1,TryingAnewStratton,C.Petracca,MEL,FWD,78,62
2019,1,TryingAnewStratton,J.Lloyd,SYD,DEF,108,131
2019,1,TryingAnewStratton,L.Parker,SYD,MID,98,86
2019,1,TryingAnewStratton,J.Crisp,COL,DEF,86,83
2019,1,TryingAnewStratton,J.De Goey,COL,FWD,75,59
2019,1,TryingAnewStratton,J.Dunkley,WBD,FWD,103,98
2019,1,TryingAnewStratton,T.Greene,GWS,FWD,72,78
2019,1,TryingAnewStratton,J.Hopper,GWS,MID,88,129
2019,1,TryingAnewStratton,D.Heppell,ESS,MID,90,92
2019,1,TryingAnewStratton,D.Byrne-Jones,PTA,DEF,80,76
2019,1,TryingAnewStratton,A.Hall,NTH,MID,74,59
2019,1,TryingAnewStratton,M.Walters,FRE,FWD,75,109
2019,1,TryingAnewStratton,S.Hurn,WCE,DEF,110,108
2019,1,TryingAnewStratton,E.Curnow,CAR,MID,102,98
2019,1,TryingAnewStratton,J.Witts,GCS,RUC,80,87
2019,1,TryingAnewStratton,B.Fiorini,GCS,MID,84,118
2019,1,TryingAnewStratton,L.Shiels,HAW,MID,77,54
2019,1,TryingAnewStratton,J.Sicily,HAW,DEF,84,100
2019,1,TryingAnewStratton,T.Adams,COL,BEN,89,0
2019,1,TryingAnewStratton,O.Wines,PTA,BEN,100,0
2019,1,TryingAnewStratton,S.Jacobs,ADE,BEN,87,86
2019,1,TryingAnewStratton,T.Scully,HAW,BEN,20,0
2019,1,Salt&VinegarCripps,T.McDonald,MEL,FWD,88,59
2019,1,Salt&VinegarCripps,J.McVeigh,SYD,DEF,100,85
2019,1,Salt&VinegarCripps,L.Franklin,SYD,FWD,92,55
2019,1,Salt&VinegarCripps,T.Langdon,COL,DEF,80,82
2019,1,Salt&VinegarCripps,B.Williams,WBD,DEF,72,40
2019,1,Salt&VinegarCripps,T.McLean,WBD,FWD,79,95
2019,1,Salt&VinegarCripps,T.Kelly,GEE,FWD,102,106
2019,1,Salt&VinegarCripps,L.Dahlhaus,GEE,FWD,79,102
2019,1,Salt&VinegarCripps,G.Ablett,GEE,MID,88,84
2019,1,Salt&VinegarCripps,L.Neale,BRL,MID,119,127
2019,1,Salt&VinegarCripps,D.Houston,PTA,DEF,80,91
2019,1,Salt&VinegarCripps,D.Martin,RIC,MID,99,109
2019,1,Salt&VinegarCripps,T.Goldstein,NTH,RUC,104,102
2019,1,Salt&VinegarCripps,D.Sheed,WCE,MID,84,144
2019,1,Salt&VinegarCripps,M.Murphy,CAR,MID,98,91
2019,1,Salt&VinegarCripps,K.Simpson,CAR,DEF,110,83
2019,1,Salt&VinegarCripps,P.Cripps,CAR,MID,129,126
2019,1,Salt&VinegarCripps,D.Swallow,GCS,MID,76,86
2019,1,Salt&VinegarCripps,J.Johannisen,WBD,BEN,95,0
2019,1,Salt&VinegarCripps,C.Ward,GWS,BEN,101,0
2019,1,Salt&VinegarCripps,K.Langford,ESS,BEN,86,80
2019,1,Salt&VinegarCripps,P.Ryder,PTA,BEN,94,68
2019,1,DEVQON.1,C.Salem,MEL,DEF,101,139
2019,1,DEVQON.1,C.Oliver,MEL,MID,94,71
2019,1,DEVQON.1,D.Moore,COL,FWD,46,77
2019,1,DEVQON.1,S.Sidebottom,COL,MID,101,87
2019,1,DEVQON.1,S.Coniglio,GWS,MID,104,154
2019,1,DEVQON.1,T.Taranto,GWS,MID,91,112
2019,1,DEVQON.1,S.Martin,BRL,RUC,116,82
2019,1,DEVQON.1,D.Smith,ESS,FWD,98,77
2019,1,DEVQON.1,T.Boak,PTA,FWD,101,119
2019,1,DEVQON.1,T.Rockliff,PTA,MID,96,138
2019,1,DEVQON.1,R.Sloane,ADE,MID,110,155
2019,1,DEVQON.1,T.Doedee,ADE,DEF,76,56
2019,1,DEVQON.1,W.Milera,ADE,DEF,83,82
2019,1,DEVQON.1,T.Lynch,ADE,FWD,73,79
2019,1,DEVQON.1,J.Harbrow,GCS,DEF,85,79
2019,1,DEVQON.1,J.Steven,STK,MID,95,92
2019,1,DEVQON.1,S.Savage,STK,DEF,93,51
2019,1,DEVQON.1,J.Newnes,STK,FWD,77,92
2019,1,DEVQON.1,M.Hibberd,MEL,BEN,74,67
2019,1,DEVQON.1,Z.Tuohy,GEE,BEN,87,0
2019,1,DEVQON.1,J.Macmillan,NTH,BEN,86,124
2019,1,DEVQON.1,A.Cerra,FRE,BEN,46,54
2019,1,Swimming n Titch,N.Jones,MEL,MID,79,71
2019,1,Swimming n Titch,M.Bontempelli,WBD,MID,111,158
2019,1,Swimming n Titch,P.Dangerfield,GEE,FWD,113,97
2019,1,Swimming n Titch,A.Witherden,BRL,DEF,97,97
2019,1,Swimming n Titch,D.Zorko,BRL,MID,103,112
2019,1,Swimming n Titch,D.Rich,BRL,DEF,86,97
2019,1,Swimming n Titch,M.Hurley,ESS,DEF,83,62
2019,1,Swimming n Titch,D.Zaharakis,ESS,MID,81,90
2019,1,Swimming n Titch,R.Gray,PTA,FWD,86,91
2019,1,Swimming n Titch,T.Nankervis,RIC,RUC,97,127
2019,1,Swimming n Titch,T.J. Lynch,RIC,FWD,59,58
2019,1,Swimming n Titch,D.Prestia,RIC,MID,82,82
2019,1,Swimming n Titch,A.Rance,RIC,DEF,82,36
2019,1,Swimming n Titch,J.Jenkins,ADE,FWD,75,54
2019,1,Swimming n Titch,L.Ryan,FRE,DEF,84,91
2019,1,Swimming n Titch,L.Shuey,WCE,MID,94,101
2019,1,Swimming n Titch,J.Redden,WCE,MID,113,85
2019,1,Swimming n Titch,J.Gresham,STK,FWD,71,86
2019,1,Swimming n Titch,J.Kelly,GWS,BEN,102,0
2019,1,Swimming n Titch,J.Hogan,FRE,BEN,79,0
2019,1,Swimming n Titch,C.Wingard,HAW,BEN,112,0
2019,1,Swimming n Titch,B.Acres,STK,BEN,76,0
2019,1,Fire The Worpedo,M.Gawn,MEL,RUC,119,87
2019,1,Fire The Worpedo,J.Viney,MEL,MID,76,41
2019,1,Fire The Worpedo,C.Mills,SYD,DEF,82,79
2019,1,Fire The Worpedo,S.Pendlebury,COL,MID,112,96
2019,1,Fire The Worpedo,D.Beams,COL,MID,93,98
2019,1,Fire The Worpedo,M.Wallis,WBD,FWD,87,96
2019,1,Fire The Worpedo,L.Whitfield,GWS,DEF,96,105
2019,1,Fire The Worpedo,L.Hodge,BRL,DEF,75,73
2019,1,Fire The Worpedo,J.Lyons,BRL,MID,94,92
2019,1,Fire The Worpedo,Z.Merrett,ESS,MID,97,67
2019,1,Fire The Worpedo,J.Ridley,ESS,DEF,57,71
2019,1,Fire The Worpedo,J.Short,RIC,DEF,94,67
2019,1,Fire The Worpedo,S.Edwards,RIC,FWD,81,92
2019,1,Fire The Worpedo,B.Crouch,ADE,MID,80,91
2019,1,Fire The Worpedo,B.Brown,NTH,FWD,68,54
2019,1,Fire The Worpedo,J.Darling,WCE,FWD,93,75
2019,1,Fire The Worpedo,J.O'Meara,HAW,MID,86,105
2019,1,Fire The Worpedo,J.Worpel,HAW,FWD,77,110
2019,1,Fire The Worpedo,J.Cameron,GWS,BEN,69,100
2019,1,Fire The Worpedo,R.Mathieson,BRL,BEN,74,95
2019,1,Fire The Worpedo,B.Ellis,RIC,BEN,75,0
2019,1,Fire The Worpedo,J.Ziebell,NTH,BEN,76,57
2019,1,Barbeques Treloar,C.Sinclair,SYD,RUC,95,99
2019,1,Barbeques Treloar,A.Treloar,COL,MID,104,102
2019,1,Barbeques Treloar,L.Hunter,WBD,MID,109,104
2019,1,Barbeques Treloar,T.Liberatore,WBD,MID,27,75
2019,1,Barbeques Treloar,T.Hawkins,GEE,FWD,101,89
2019,1,Barbeques Treloar,J.Selwood,GEE,MID,112,98
2019,1,Barbeques Treloar,H.Andrews,BRL,DEF,105,117
2019,1,Barbeques Treloar,A.McGrath,ESS,DEF,71,71
2019,1,Barbeques Treloar,J.Westhoff,PTA,FWD,118,149
