SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2017,1,Show Me The Mundy,L.Breust,HAW,FWD,83,71
2017,1,Show Me The Mundy,J.Macrae,WBD,FWD,90,92
2017,1,Show Me The Mundy,J.Lewis,MEL,MID,109,104
2017,1,Show Me The Mundy,S.Docherty,CAR,DEF,102,91
2017,1,Show Me The Mundy,Z.Jones,SYD,DEF,57,95
2017,1,Show Me The Mundy,J.P.Kennedy,SYD,MID,118,134
2017,1,Show Me The Mundy,T.Greene,GWS,FWD,78,72
2017,1,Show Me The Mundy,D.Shiel,GWS,MID,98,75
2017,1,Show Me The Mundy,A.Young,PTA,FWD,67,103
2017,1,Show Me The Mundy,P.Ryder,PTA,FWD,94,87
2017,1,Show Me The Mundy,M.Barlow,GCS,MID,106,106
2017,1,Show Me The Mundy,J.Kelly,ESS,DEF,95,74
2017,1,Show Me The Mundy,A.Sandilands,FRE,RUC,73,107
2017,1,Show Me The Mundy,D.Mundy,FRE,MID,91,104
2017,1,Show Me The Mundy,A.Rance,RIC,DEF,83,59
2017,1,Show Me The Mundy,D.Armitage,STK,MID,84,74
2017,1,Show Me The Mundy,C.Hampton,ADE,DEF,50,50
2017,1,Show Me The Mundy,A.Gaff,WCE,MID,89,119
2017,1,Show Me The Mundy,L.Hodge,HAW,BEN,103,0
2017,1,Show Me The Mundy,L.Shiels,HAW,BEN,66,77
2017,1,Show Me The Mundy,M.Duncan,GEE,BEN,92,118
2017,1,Show Me The Mundy,J.Pittard,PTA,BEN,84,0
2017,2,Show Me The Mundy,L.Hodge,HAW,DEF,101,77
2017,2,Show Me The Mundy,J.Macrae,WBD,FWD,91,98
2017,2,Show Me The Mundy,W.Hoskin-Elliott,COL,FWD,80,120
2017,2,Show Me The Mundy,J.Lewis,MEL,MID,104,78
2017,2,Show Me The Mundy,S.Docherty,CAR,DEF,105,124
2017,2,Show Me The Mundy,Z.Jones,SYD,DEF,57,55
2017,2,Show Me The Mundy,J.P.Kennedy,SYD,MID,113,89
2017,2,Show Me The Mundy,M.Duncan,GEE,MID,93,99
2017,2,Show Me The Mundy,T.Greene,GWS,FWD,86,138
2017,2,Show Me The Mundy,D.Shiel,GWS,MID,105,132
2017,2,Show Me The Mundy,A.Young,PTA,FWD,67,78
2017,2,Show Me The Mundy,P.Ryder,PTA,FWD,88,75
2017,2,Show Me The Mundy,M.Barlow,GCS,MID,104,87
2017,2,Show Me The Mundy,J.Kelly,ESS,DEF,86,56
2017,2,Show Me The Mundy,A.Sandilands,FRE,RUC,73,71
2017,2,Show Me The Mundy,D.Mundy,FRE,MID,91,92
