"id","feed_id","player_name","team","pos","avg","adp"
752,"993902","M.Flynn","WCE","RUC",88,109.8
220,"997033","B.Cox","FRE","DEF",88,110.4
228,"291570","N.Fyfe","FRE","MID/FWD",51,112
632,"1035198","L.O'Connell","STK","DEF",0,112.3
367,"993107","H.Himmelberg","GWS","DEF",81,112.4
52,"294518","J.Daniher","BRL","FWD",83,113
47,"1002312","Z.Bailey","BRL","MID/FWD",78,113
462,"1009378","T.Rivers","MEL","DEF",85,113.3
331,"1004938","G.Miers","GEE","FWD",81,115.3
779,"292128","E.Yeo","WCE","DEF/MID",80,115.7
496,"1023625","R.Hardeman","NTH","DEF",0,116.6
536,"1011640","J.Horne-Francis","PTA","MID",78,119.7
728,"1006130","B.Smith","WBD","MID/FWD",80,119.9
87,"296294","B.Acres","CAR","MID",88,120.4
16,"1004863","M.Hinge","ADE","DEF",85,120.5
167,"1000860","L.Schultz","COL","FWD",79,120.6
778,"998128","A.Witherden","WCE","DEF",84,120.8
302,"994386","T.Atkins","GEE","MID",87,121.4
555,"998529","I.Soldo","PTA","RUC",87,122
668,"1027058","I.Kirk","SYD","MID",0,122
403,"993794","B.Hardwick","HAW","DEF",86,122.1
348,"1009253","L.Ash","GWS","DEF",84,123.1
503,"1024272","C.McKercher","NTH","MID",0,123.7
384,"1005247","S.Taylor","GWS","DEF",84,123.8
294,"1019939","W.Rowlands","GCS","MID/FWD",0,124.1
127,"993832","J.Weitering","CAR","DEF",85,124.9
451,"281085","S.May","MEL","DEF",84,125.2
218,"1006152","J.Clark","FRE","DEF",82,126.5
30,"1017051","J.Rachele","ADE","FWD",74,126.5
173,"1006103","J.Caldwell","ESS","MID/FWD",78,126.6
46,"1023517","W.Ashcroft","BRL","MID",84,126.7
265,"1013257","S.Clohesy","GCS","DEF",0,128.6
488,"999827","Z.Fisher","NTH","FWD",68,129.1
637,"1024279","A.Schoenmaker","STK","DEF",0,129.8
190,"298630","K.Langford","ESS","FWD",79,131
511,"993998","J.Simpkin","NTH","MID",79,131.2
141,"1027673","H.DeMattia","COL","MID",0,133.1
518,"1004965","T.Xerri","NTH","RUC",73,133.6
581,"993903","J.Hopper","RIC","MID",79,133.7
417,"1007124","C.Nash","HAW","MID",86,133.8
707,"1027704","J.Freijah","WBD","MID/FWD",0,134.1
319,"290550","C.Guthrie","GEE","MID",84,134.2
531,"1000972","W.Drew","PTA","MID",85,134.4
128,"294685","Z.Williams","CAR","DEF",0,135.6
766,"294859","J.McGovern","WCE","DEF",84,137.1
517,"1023477","G.Wardlaw","NTH","MID",65,137.2
204,"998215","W.Setterfield","ESS","MID",85,138.7
686,"1006126","J.Rowbottom","SYD","MID",84,140.5
325,"1015889","M.Holmes","GEE","MID",80,141
168,"280965","S.Sidebottom","COL","MID",85,141.3
154,"992010","B.Maynard","COL","DEF",80,143.7
322,"261510","T.Hawkins","GEE","FWD",78,144.6
721,"1002404","A.Naughton","WBD","FWD",75,146.6
283,"1004095","J.Lukosius","GCS","FWD",76,146.8
36,"291748","B.Smith","ADE","DEF",82,147.1
726,"1017939","R.Sanders","WBD","MID",0,147.7
773,"296296","D.Sheed","WCE","MID",84,148.6
369,"1008083","C.Idun","GWS","DEF",81,148.6
256,"998130","B.Ainsworth","GCS","FWD",76,148.7
487,"1023494","Z.Duursma","NTH","MID/FWD",0,149.7
768,"1020032","L.Rawlinson","WCE","MID/FWD",0,150
763,"1028291","C.Livingstone","WCE","RUC/FWD",0,150.6
300,"298524","L.Weller","GCS","DEF",83,150.9
409,"1017094","C.Macdonald","HAW","FWD",68,150.9
755,"1024188","C.Hall","WCE","MID",0,151.1
667,"1013409","J.Jordon","SYD","MID/FWD",49,151.2
106,"294036","G.Hewett","CAR","MID",79,153.4
164,"1008089","I.Quaynor","COL","DEF",75,154.2
592,"290627","D.Prestia","RIC","MID",81,154.6
277,"1023500","B.Humphrey","GCS","FWD",59,155.8
711,"297899","J.Harmes","WBD","MID/FWD",46,155.8
498,"1001017","N.Larkey","NTH","FWD",69,156.5
354,"1023266","F.Callaghan","GWS","MID",73,159.7
238,"294613","J.O'Meara","FRE","MID",80,160.2
430,"1027935","J.Weddle","HAW","DEF",67,160.9
152,"1012828","F.Macrae","COL","FWD",39,161.2
739,"990290","T.Barrass","WCE","DEF",80,161.5
181,"298421","J.Gresham","ESS","FWD",67,162.6
655,"1024057","C.Cleary","SYD","MID",0,163.5
681,"996765","T.Papley","SYD","FWD",73,163.7
177,"1005577","S.Draper","ESS","RUC",76,164
100,"1004912","T.De Koning","CAR","RUC",74,164
463,"296359","C.Salem","MEL","DEF",75,164.2
586,"1019916","K.McAuliffe","RIC","MID",0,164.2
8,"1024023","D.Curtin","ADE","DEF/MID",0,164.3
184,"290629","D.Heppell","ESS","DEF",80,164.5
429,"1023473","N.Watson","HAW","MID/FWD",0,165.4
368,"296324","J.Hogan","GWS","FWD",75,165.5
