"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Lester",1.5078,16,11,9897,5975,3412,0,10000,0.99,0.598,0.341,0
"Paul",3.3107,14,9,7934,4735,2716,0,10000,0.793,0.474,0.272,0
"Mark",3.4394,14,9,7738,3862,1856,0,10000,0.774,0.386,0.186,0
"Luke",2.9054,15,10,8430,2902,938,0,10000,0.843,0.29,0.094,0
"Anthony",4.9021,13,8,3272,1459,668,0,10000,0.327,0.146,0.067,0
"James",5.211,13,8,2588,1027,424,4,10000,0.259,0.103,0.042,0
"Jordan",6.7557,11,6,141,40,15,314,10000,0.014,0.004,0.002,0.031
"Simon",7.9679,8,3,0,0,0,9682,10000,0,0,0,0.968
