"coach","wins","draws","losses","total_points","position","simulation"
"Paul",16,0,5,36775,2,968
"Anthony",11,0,10,34689,3,968
"Luke",11,0,10,34595,4,968
"Mark",10,0,11,35490,5,968
"James",10,0,11,34695,6,968
"Jordan",6,0,15,32171,7,968
"Simon",4,0,17,33025,8,968
"Paul",14,0,7,36432,1,969
"James",13,0,8,35389,2,969
"Anthony",12,0,9,35360,3,969
"Lester",11,0,10,35929,4,969
"Mark",11,0,10,35415,5,969
"Luke",11,0,10,35070,6,969
"Simon",7,0,14,33786,7,969
"Jordan",5,0,16,33140,8,969
"Lester",13,0,8,35846,1,970
"Anthony",13,0,8,35115,2,970
"Paul",12,0,9,36121,3,970
"James",12,0,9,34279,4,970
"Mark",11,0,10,35264,5,970
"Luke",10,0,11,35163,6,970
"Jordan",7,0,14,33208,7,970
"Simon",6,0,15,34067,8,970
"Lester",16,0,5,36576,1,971
"Anthony",13,0,8,34822,2,971
"Paul",12,0,9,36821,3,971
"James",11,0,10,34697,4,971
"Jordan",10,0,11,33987,5,971
"Mark",8,1,12,35463,6,971
"Luke",8,0,13,34327,7,971
"Simon",5,1,15,33100,8,971
"James",14,0,7,35426,1,972
"Lester",13,0,8,36610,2,972
"Paul",12,0,9,36941,3,972
"Mark",11,0,10,35598,4,972
"Anthony",10,0,11,35136,5,972
"Luke",9,0,12,34374,6,972
"Simon",8,0,13,33609,7,972
"Jordan",7,0,14,33471,8,972
"Lester",17,0,4,37186,1,973
"Mark",14,0,7,35296,2,973
"Paul",13,0,8,36562,3,973
"Luke",10,0,11,34541,4,973
"Anthony",9,0,12,34685,5,973
"James",8,0,13,35075,6,973
"Jordan",8,0,13,33591,7,973
"Simon",5,0,16,33217,8,973
"Lester",14,0,7,36785,1,974
"Mark",13,0,8,36527,2,974
"Paul",12,0,9,36897,3,974
"Luke",12,0,9,35853,4,974
"Anthony",11,0,10,35406,5,974
"James",9,0,12,34489,6,974
"Jordan",7,0,14,32744,7,974
"Simon",6,0,15,34081,8,974
"Lester",16,0,5,36303,1,975
"Anthony",13,0,8,35382,2,975
"Mark",12,0,9,35598,3,975
"Paul",11,0,10,36008,4,975
"Luke",10,0,11,35496,5,975
"James",10,0,11,34867,6,975
"Jordan",7,0,14,33170,7,975
"Simon",5,0,16,33034,8,975
"Lester",14,0,7,36368,1,976
"Paul",13,0,8,36395,2,976
"Anthony",11,0,10,34647,3,976
"Luke",11,0,10,34562,4,976
"Mark",11,0,10,34399,5,976
"James",8,0,13,34615,6,976
"Simon",8,0,13,33657,7,976
"Jordan",8,0,13,33069,8,976
"Lester",16,0,5,36811,1,977
"Anthony",14,0,7,35931,2,977
"Paul",13,0,8,36845,3,977
"Luke",11,0,10,35168,4,977
"James",9,0,12,34606,5,977
"Mark",9,0,12,34442,6,977
"Simon",6,0,15,33750,7,977
"Jordan",6,0,15,32841,8,977
"Paul",16,0,5,37621,1,978
"Lester",13,0,8,36688,2,978
"Anthony",13,0,8,35212,3,978
"Mark",11,0,10,35703,4,978
"Luke",8,0,13,34984,5,978
"James",8,0,13,34529,6,978
"Jordan",8,0,13,33018,7,978
"Simon",7,0,14,33590,8,978
"Lester",15,0,6,36448,1,979
"Anthony",13,0,8,35948,2,979
"Luke",13,0,8,35089,3,979
"Paul",11,0,10,36727,4,979
"James",10,0,11,34637,5,979
"Jordan",8,0,13,33177,6,979
"Mark",7,0,14,34505,7,979
"Simon",7,0,14,33590,8,979
"Paul",13,0,8,36454,1,980
"Lester",12,0,9,36119,2,980
"Mark",12,0,9,35750,3,980
"Anthony",10,0,11,35700,4,980
"Luke",10,0,11,34951,5,980
"Simon",10,0,11,34321,6,980
"Jordan",10,0,11,33128,7,980
"James",7,0,14,34209,8,980
"Paul",16,0,5,37020,1,981
"Lester",13,0,8,36128,2,981
"Mark",12,0,9,35440,3,981
"Anthony",12,0,9,34943,4,981
"Luke",10,0,11,35094,5,981
"James",8,0,13,34323,6,981
"Jordan",7,0,14,33103,7,981
"Simon",6,0,15,33234,8,981
"Luke",14,0,7,35201,1,982
"Paul",13,0,8,36617,2,982
"Lester",13,0,8,36071,3,982
"Anthony",10,0,11,34930,4,982
"James",10,0,11,34544,5,982
"Mark",9,0,12,35283,6,982
"Simon",8,0,13,33574,7,982
"Jordan",7,0,14,33006,8,982
"Lester",17,0,4,36005,1,983
"Paul",14,0,7,36108,2,983
"Anthony",12,0,9,35460,3,983
"Luke",11,0,10,35152,4,983
"Mark",10,0,11,35061,5,983
"James",9,0,12,35212,6,983
"Simon",6,0,15,33735,7,983
"Jordan",5,0,16,32529,8,983
"Mark",15,0,6,36684,1,984
"Lester",14,0,7,36679,2,984
"Paul",13,0,8,36615,3,984
"Anthony",11,0,10,34795,4,984
"Luke",10,0,11,34918,5,984
"James",7,0,14,34727,6,984
"Simon",7,0,14,33632,7,984
"Jordan",7,0,14,32606,8,984
"Lester",17,0,4,37307,1,985
"Paul",15,0,6,36439,2,985
"James",11,0,10,34393,3,985
"Anthony",10,0,11,34716,4,985
"Luke",10,0,11,34481,5,985
"Mark",9,1,11,36004,6,985
"Simon",6,0,15,32928,7,985
"Jordan",5,1,15,32301,8,985
"Anthony",16,0,5,36312,1,986
"Lester",14,0,7,35972,2,986
"Paul",13,0,8,36906,3,986
"Mark",12,0,9,35909,4,986
"Jordan",8,0,13,33706,5,986
"Simon",8,0,13,33358,6,986
"Luke",7,0,14,33980,7,986
"James",6,0,15,34350,8,986
"Paul",15,0,6,37077,1,987
"Lester",13,0,8,36673,2,987
"Luke",12,0,9,35883,3,987
"Mark",10,0,11,35760,4,987
"Anthony",10,0,11,35364,5,987
"Simon",9,0,12,33601,6,987
"James",8,0,13,34374,7,987
"Jordan",7,0,14,33077,8,987
"Mark",13,0,8,36299,1,988
"Paul",13,0,8,36262,2,988
"Lester",12,0,9,36602,3,988
"Luke",12,0,9,35297,4,988
"Anthony",10,0,11,35426,5,988
"James",9,0,12,34823,6,988
"Jordan",8,0,13,33498,7,988
"Simon",7,0,14,33899,8,988
"Paul",16,0,5,36660,1,989
"Anthony",13,0,8,35346,2,989
"Lester",12,0,9,36524,3,989
"Mark",11,0,10,35795,4,989
"Luke",10,0,11,34924,5,989
"Jordan",9,0,12,33039,6,989
"James",7,0,14,34437,7,989
"Simon",6,0,15,33226,8,989
"Lester",15,0,6,36994,1,990
"Anthony",14,0,7,35572,2,990
"Mark",11,0,10,36262,3,990
"Paul",10,0,11,36475,4,990
"Luke",10,0,11,34837,5,990
"James",9,0,12,34744,6,990
"Jordan",8,0,13,33662,7,990
"Simon",7,0,14,33684,8,990
"Lester",16,0,5,36523,1,991
"Paul",12,0,9,36331,2,991
"Mark",11,0,10,35153,3,991
"Anthony",10,0,11,34793,4,991
"Luke",10,0,11,34282,5,991
"James",9,0,12,34752,6,991
"Jordan",9,0,12,33036,7,991
"Simon",7,0,14,34196,8,991
"Lester",15,0,6,36121,1,992
"Anthony",14,0,7,35786,2,992
"Paul",13,0,8,36868,3,992
"Luke",11,0,10,35374,4,992
"Mark",11,0,10,35004,5,992
"James",10,0,11,34607,6,992
"Jordan",6,0,15,33092,7,992
"Simon",4,0,17,32248,8,992
"Lester",16,0,5,37119,1,993
"Paul",13,0,8,36153,2,993
"Mark",11,0,10,35347,3,993
"Luke",11,0,10,34802,4,993
"Anthony",10,0,11,34662,5,993
"Jordan",10,0,11,33500,6,993
"Simon",7,0,14,34479,7,993
"James",6,0,15,34759,8,993
"Lester",15,0,6,36014,1,994
"Mark",12,0,9,35996,2,994
"Paul",11,0,10,36653,3,994
"James",11,0,10,34904,4,994
"Anthony",11,0,10,34798,5,994
"Luke",9,0,12,34533,6,994
"Jordan",8,0,13,33308,7,994
"Simon",7,0,14,33817,8,994
"Lester",15,0,6,36856,1,995
"Paul",14,0,7,37405,2,995
"Anthony",12,0,9,36101,3,995
"James",11,0,10,35158,4,995
"Mark",10,0,11,36101,5,995
"Luke",9,0,12,34865,6,995
"Jordan",7,0,14,33232,7,995
"Simon",6,0,15,33170,8,995
"Lester",15,0,6,36429,1,996
"Paul",13,0,8,36196,2,996
"Anthony",13,0,8,36145,3,996
"James",13,0,8,35347,4,996
"Luke",9,0,12,34434,5,996
"Mark",8,0,13,35172,6,996
"Simon",7,0,14,33480,7,996
"Jordan",6,0,15,33509,8,996
"Lester",13,0,8,36737,1,997
"Anthony",13,0,8,35804,2,997
"Luke",13,0,8,35316,3,997
"Paul",11,0,10,36210,4,997
"James",10,0,11,35214,5,997
"Jordan",9,0,12,32816,6,997
"Mark",8,0,13,34506,7,997
"Simon",7,0,14,33334,8,997
"Paul",14,0,7,37457,1,998
"Lester",14,0,7,37321,2,998
"Anthony",13,0,8,35821,3,998
"Mark",10,0,11,35110,4,998
"Luke",9,0,12,34869,5,998
"James",8,0,13,34097,6,998
"Jordan",8,0,13,33981,7,998
"Simon",8,0,13,33762,8,998
"Lester",16,0,5,36387,1,999
"Mark",13,0,8,36340,2,999
"Anthony",13,0,8,35318,3,999
"Luke",12,0,9,34903,4,999
"James",10,0,11,34864,5,999
"Paul",9,0,12,36080,6,999
"Jordan",6,0,15,33019,7,999
"Simon",5,0,16,32990,8,999
"Paul",15,0,6,37433,1,1000
"Lester",14,0,7,36713,2,1000
"Luke",12,0,9,34905,3,1000
"Mark",10,0,11,36402,4,1000
"Anthony",10,0,11,34861,5,1000
"James",9,0,12,33999,6,1000
"Simon",7,0,14,34111,7,1000
"Jordan",7,0,14,32851,8,1000
"Lester",14,0,7,36316,1,1001
"Paul",13,0,8,35536,2,1001
"Mark",12,0,9,35622,3,1001
"Anthony",12,0,9,34522,4,1001
"Luke",10,0,11,34721,5,1001
"Jordan",10,0,11,32765,6,1001
"James",7,0,14,34368,7,1001
"Simon",6,0,15,33539,8,1001
"Paul",14,0,7,37366,1,1002
"Lester",14,0,7,36260,2,1002
"Mark",11,0,10,36068,3,1002
"Anthony",11,0,10,35506,4,1002
"James",10,0,11,34922,5,1002
"Luke",9,0,12,34453,6,1002
"Simon",9,0,12,33849,7,1002
"Jordan",6,0,15,32856,8,1002
"Lester",14,0,7,36298,1,1003
"Mark",13,0,8,35775,2,1003
"Luke",13,0,8,34534,3,1003
"Paul",12,0,9,35866,4,1003
"Anthony",12,0,9,35503,5,1003
"James",9,0,12,34409,6,1003
"Jordan",6,0,15,33296,7,1003
"Simon",5,0,16,33739,8,1003
"Paul",14,0,7,37082,1,1004
"Mark",14,0,7,35479,2,1004
"Lester",12,0,9,36165,3,1004
"Anthony",12,0,9,34973,4,1004
"Luke",11,0,10,34384,5,1004
"Jordan",10,0,11,34063,6,1004
"James",8,0,13,34374,7,1004
"Simon",3,0,18,32656,8,1004
"Lester",15,0,6,36456,1,1005
"Paul",13,0,8,36674,2,1005
"Mark",12,0,9,35091,3,1005
"Anthony",11,0,10,35476,4,1005
"Luke",10,0,11,34878,5,1005
"James",10,0,11,34425,6,1005
"Simon",7,0,14,34080,7,1005
"Jordan",6,0,15,33303,8,1005
"Paul",14,0,7,37600,1,1006
"Luke",13,0,8,34874,2,1006
"Lester",12,0,9,35911,3,1006
"Anthony",12,0,9,35750,4,1006
"Mark",9,0,12,34903,5,1006
"James",9,0,12,33593,6,1006
"Jordan",8,0,13,33023,7,1006
"Simon",7,0,14,32620,8,1006
"Lester",16,0,5,36433,1,1007
"Anthony",12,0,9,35090,2,1007
"Paul",11,0,10,36294,3,1007
"James",11,0,10,34355,4,1007
"Luke",9,0,12,34732,5,1007
"Mark",9,0,12,34730,6,1007
"Jordan",9,0,12,33535,7,1007
"Simon",7,0,14,33892,8,1007
"Lester",15,0,6,36789,1,1008
"Mark",13,0,8,36038,2,1008
"Luke",12,0,9,34773,3,1008
"Paul",10,0,11,36535,4,1008
"Anthony",10,0,11,35808,5,1008
"James",10,0,11,35102,6,1008
"Jordan",8,0,13,33130,7,1008
"Simon",6,0,15,33381,8,1008
"Lester",15,0,6,37033,1,1009
"Luke",13,0,8,35191,2,1009
"Anthony",12,0,9,35422,3,1009
"Paul",12,0,9,35400,4,1009
"Mark",9,0,12,35490,5,1009
"James",9,0,12,34537,6,1009
"Simon",7,0,14,33390,7,1009
"Jordan",7,0,14,33341,8,1009
"Lester",14,0,7,36789,1,1010
"Paul",14,0,7,36707,2,1010
"Anthony",13,0,8,35718,3,1010
"Luke",12,0,9,35001,4,1010
"Mark",11,0,10,35207,5,1010
"James",8,0,13,34406,6,1010
"Jordan",7,0,14,32358,7,1010
"Simon",5,0,16,33177,8,1010
"Lester",14,0,7,36288,1,1011
"Anthony",13,0,8,35185,2,1011
"Paul",12,0,9,37938,3,1011
"Mark",12,0,9,35635,4,1011
"Luke",12,0,9,35428,5,1011
"James",9,0,12,34170,6,1011
"Jordan",6,0,15,32955,7,1011
"Simon",6,0,15,32866,8,1011
"Lester",17,0,4,36761,1,1012
"Paul",14,0,7,36681,2,1012
"Mark",10,2,9,35649,3,1012
"Luke",9,1,11,34987,4,1012
"Anthony",9,0,12,34766,5,1012
"James",9,0,12,34710,6,1012
"Jordan",8,0,13,32744,7,1012
"Simon",6,1,14,33309,8,1012
"Paul",15,0,6,37671,1,1013
"Lester",15,0,6,36331,2,1013
"Luke",13,0,8,35861,3,1013
"Mark",11,0,10,36208,4,1013
"Anthony",10,0,11,34971,5,1013
"Jordan",8,0,13,32658,6,1013
"James",7,0,14,33977,7,1013
"Simon",5,0,16,32996,8,1013
"Lester",15,0,6,36417,1,1014
"Paul",13,1,7,36510,2,1014
"Mark",13,0,8,35734,3,1014
"Luke",12,0,9,34960,4,1014
"Anthony",11,0,10,35410,5,1014
"James",8,0,13,34604,6,1014
"Simon",7,0,14,34151,7,1014
"Jordan",4,1,16,32719,8,1014
"Lester",16,0,5,36741,1,1015
"Anthony",13,0,8,36162,2,1015
"Luke",13,0,8,35272,3,1015
"Paul",12,0,9,36979,4,1015
"Mark",10,0,11,35573,5,1015
"James",10,0,11,34998,6,1015
"Jordan",6,0,15,32370,7,1015
"Simon",4,0,17,33599,8,1015
"Lester",16,0,5,37561,1,1016
"Paul",14,0,7,37241,2,1016
"Mark",13,0,8,35112,3,1016
"Anthony",9,0,12,34641,4,1016
"Luke",9,0,12,34482,5,1016
"Simon",8,0,13,33793,6,1016
"Jordan",8,0,13,33387,7,1016
"James",7,0,14,34604,8,1016
"Paul",13,0,8,36897,1,1017
"Anthony",13,0,8,35322,2,1017
"Lester",12,0,9,35538,3,1017
"Mark",11,1,9,35590,4,1017
"Luke",11,1,9,34911,5,1017
"James",9,0,12,34466,6,1017
"Jordan",8,0,13,33369,7,1017
"Simon",6,0,15,32933,8,1017
"Mark",15,0,6,36317,1,1018
"Lester",14,0,7,35793,2,1018
"Paul",12,1,8,36534,3,1018
"Anthony",12,1,8,35614,4,1018
"Luke",11,0,10,34621,5,1018
"James",8,0,13,34307,6,1018
"Jordan",6,0,15,32606,7,1018
"Simon",5,0,16,33240,8,1018
"Paul",16,0,5,36993,1,1019
"Lester",16,0,5,36653,2,1019
"Anthony",12,0,9,35361,3,1019
"Mark",10,0,11,35617,4,1019
"Jordan",9,0,12,33084,5,1019
"Simon",8,0,13,33855,6,1019
"James",7,0,14,33955,7,1019
"Luke",6,0,15,34499,8,1019
"Paul",16,0,5,37063,1,1020
"Lester",14,0,7,36041,2,1020
"Luke",11,0,10,35143,3,1020
"Mark",10,0,11,35059,4,1020
"James",10,0,11,34933,5,1020
"Anthony",9,0,12,35369,6,1020
"Simon",7,0,14,33118,7,1020
"Jordan",7,0,14,33036,8,1020
"Lester",15,0,6,37129,1,1021
"Paul",14,0,7,37456,2,1021
"Anthony",13,0,8,35452,3,1021
"Mark",12,0,9,35778,4,1021
"Luke",10,0,11,35139,5,1021
"James",8,0,13,34502,6,1021
"Jordan",7,1,13,32168,7,1021
"Simon",4,1,16,33464,8,1021
"Paul",16,0,5,37178,1,1022
"Lester",13,0,8,36824,2,1022
"Mark",11,0,10,35426,3,1022
"Anthony",11,0,10,34703,4,1022
"James",10,0,11,35066,5,1022
"Jordan",10,0,11,33257,6,1022
"Luke",7,0,14,34459,7,1022
"Simon",6,0,15,34258,8,1022
"Paul",16,0,5,36293,1,1023
"Anthony",15,0,6,35597,2,1023
"Lester",13,0,8,36608,3,1023
"Mark",9,0,12,35366,4,1023
"Luke",9,0,12,34589,5,1023
"James",9,0,12,34443,6,1023
"Jordan",8,0,13,32962,7,1023
"Simon",5,0,16,32659,8,1023
"Paul",15,0,6,37117,1,1024
"Lester",13,0,8,35795,2,1024
"Anthony",12,0,9,35477,3,1024
"Mark",11,0,10,35979,4,1024
"James",11,0,10,34364,5,1024
"Luke",9,0,12,34685,6,1024
"Jordan",7,0,14,32243,7,1024
"Simon",6,0,15,33317,8,1024
"James",14,0,7,34989,1,1025
"Lester",13,0,8,37007,2,1025
"Paul",13,0,8,36843,3,1025
"Anthony",12,0,9,35560,4,1025
"Mark",10,0,11,35296,5,1025
"Luke",8,0,13,34442,6,1025
"Simon",8,0,13,34028,7,1025
"Jordan",6,0,15,32755,8,1025
"Lester",17,0,4,36562,1,1026
"Anthony",14,0,7,36060,2,1026
"Paul",13,0,8,37290,3,1026
"Simon",11,0,10,34722,4,1026
"Luke",9,0,12,35031,5,1026
"James",8,0,13,34479,6,1026
"Mark",7,0,14,34418,7,1026
"Jordan",5,0,16,32788,8,1026
"Anthony",15,0,6,35293,1,1027
"Luke",13,0,8,35071,2,1027
"Paul",12,0,9,36666,3,1027
"Lester",11,0,10,35879,4,1027
"Mark",11,0,10,35800,5,1027
"James",9,0,12,34774,6,1027
"Simon",7,0,14,34564,7,1027
"Jordan",6,0,15,32494,8,1027
"Lester",17,0,4,37796,1,1028
"Paul",14,0,7,36961,2,1028
"Luke",12,0,9,35336,3,1028
"Mark",11,0,10,35855,4,1028
"Anthony",10,0,11,34553,5,1028
"James",8,0,13,34557,6,1028
"Simon",7,0,14,34573,7,1028
"Jordan",5,0,16,32575,8,1028
"Lester",15,0,6,36680,1,1029
"Anthony",15,0,6,35530,2,1029
"Paul",14,0,7,36925,3,1029
"Luke",10,0,11,34896,4,1029
"Mark",10,0,11,34652,5,1029
"James",9,0,12,34527,6,1029
"Jordan",7,0,14,33430,7,1029
"Simon",4,0,17,33465,8,1029
"Lester",15,0,6,36239,1,1030
"Paul",13,0,8,36882,2,1030
"Mark",12,0,9,36155,3,1030
"Anthony",12,0,9,35235,4,1030
"Luke",10,0,11,34617,5,1030
"Simon",9,0,12,34511,6,1030
"Jordan",8,0,13,33054,7,1030
"James",5,0,16,35065,8,1030
"Paul",15,0,6,37119,1,1031
"Lester",14,0,7,36774,2,1031
"Anthony",12,0,9,34861,3,1031
"Luke",11,0,10,34340,4,1031
"Mark",10,0,11,35230,5,1031
"James",9,0,12,34874,6,1031
"Jordan",7,0,14,32723,7,1031
"Simon",6,0,15,34045,8,1031
"Paul",15,0,6,37341,1,1032
"Lester",15,0,6,36554,2,1032
"Mark",11,0,10,35745,3,1032
"James",11,0,10,35130,4,1032
"Luke",10,0,11,35091,5,1032
"Anthony",10,0,11,34851,6,1032
"Jordan",8,0,13,32712,7,1032
"Simon",4,0,17,32977,8,1032
"Lester",16,0,5,37163,1,1033
"Luke",13,0,8,35321,2,1033
"Paul",12,1,8,36381,3,1033
"Mark",12,0,9,35349,4,1033
"Anthony",11,1,9,35588,5,1033
"James",8,0,13,34087,6,1033
"Simon",6,0,15,33625,7,1033
"Jordan",5,0,16,33062,8,1033
"Lester",16,0,5,37123,1,1034
"Paul",14,0,7,36585,2,1034
"Anthony",14,0,7,35863,3,1034
"Mark",9,0,12,34917,4,1034
"James",9,0,12,33860,5,1034
"Luke",8,0,13,34188,6,1034
"Simon",7,0,14,33704,7,1034
"Jordan",7,0,14,33466,8,1034
"Anthony",15,0,6,35890,1,1035
"Paul",14,0,7,36191,2,1035
"Lester",13,0,8,36237,3,1035
"Luke",9,0,12,34735,4,1035
"Simon",9,0,12,34035,5,1035
"Mark",8,0,13,35429,6,1035
"James",8,0,13,35104,7,1035
"Jordan",8,0,13,32952,8,1035
"Paul",14,0,7,36977,1,1036
"Lester",13,0,8,36052,2,1036
"Anthony",12,0,9,35191,3,1036
"Luke",12,0,9,35160,4,1036
"Mark",10,0,11,35217,5,1036
"James",8,0,13,34515,6,1036
"Simon",8,0,13,33165,7,1036
"Jordan",7,0,14,32605,8,1036
"Lester",17,0,4,37207,1,1037
"Paul",15,0,6,37619,2,1037
"Luke",10,0,11,34299,3,1037
"Mark",9,0,12,35206,4,1037
"Anthony",9,0,12,34906,5,1037
"Jordan",9,0,12,33657,6,1037
"Simon",8,0,13,33861,7,1037
"James",7,0,14,34520,8,1037
"Anthony",15,0,6,36130,1,1038
"Paul",13,0,8,37107,2,1038
"Lester",13,0,8,36402,3,1038
"Luke",10,0,11,34815,4,1038
"Jordan",10,0,11,33963,5,1038
"Mark",9,0,12,34934,6,1038
"James",8,0,13,35240,7,1038
"Simon",6,0,15,33432,8,1038
"Lester",14,0,7,36736,1,1039
"Paul",13,0,8,36477,2,1039
"James",12,0,9,34786,3,1039
"Mark",11,0,10,35456,4,1039
"Luke",11,0,10,34808,5,1039
"Anthony",10,0,11,34798,6,1039
"Simon",7,0,14,33471,7,1039
"Jordan",6,0,15,33099,8,1039
"Lester",15,0,6,36566,1,1040
"Paul",13,0,8,36894,2,1040
"Mark",11,0,10,34952,3,1040
"Luke",11,0,10,34734,4,1040
"Jordan",10,0,11,33419,5,1040
"Simon",9,0,12,34099,6,1040
"Anthony",8,0,13,34707,7,1040
"James",7,0,14,34448,8,1040
"Lester",14,0,7,36684,1,1041
"Anthony",13,0,8,35734,2,1041
"Paul",12,0,9,35937,3,1041
"Mark",12,0,9,35376,4,1041
"Luke",10,0,11,34648,5,1041
"Simon",9,0,12,34167,6,1041
"James",8,0,13,34443,7,1041
"Jordan",6,0,15,33209,8,1041
"Lester",13,0,8,35916,1,1042
"Anthony",12,0,9,35573,2,1042
"Luke",12,0,9,34745,3,1042
"Mark",11,0,10,35655,4,1042
"James",11,0,10,34603,5,1042
"Paul",10,0,11,35423,6,1042
"Simon",10,0,11,33411,7,1042
"Jordan",5,0,16,32414,8,1042
"Anthony",16,0,5,35841,1,1043
"Lester",14,0,7,36616,2,1043
"Mark",11,0,10,36279,3,1043
"Paul",11,0,10,36034,4,1043
"Simon",10,0,11,33704,5,1043
"James",9,0,12,34453,6,1043
"Luke",7,0,14,35523,7,1043
"Jordan",6,0,15,33615,8,1043
"Paul",15,0,6,37620,1,1044
"Lester",15,0,6,36018,2,1044
"Anthony",13,0,8,35341,3,1044
"Mark",11,0,10,35351,4,1044
"James",11,0,10,34663,5,1044
"Luke",10,0,11,34572,6,1044
"Jordan",6,0,15,32813,7,1044
"Simon",3,0,18,32989,8,1044
"Lester",14,0,7,36645,1,1045
"Mark",12,0,9,37016,2,1045
"James",12,0,9,34989,3,1045
"Paul",11,0,10,36175,4,1045
"Luke",10,0,11,34436,5,1045
"Anthony",10,0,11,34353,6,1045
"Jordan",10,0,11,33761,7,1045
"Simon",5,0,16,33309,8,1045
"Lester",14,0,7,37204,1,1046
"Paul",14,0,7,36508,2,1046
"Mark",12,0,9,35996,3,1046
"Anthony",11,0,10,35745,4,1046
"Luke",10,0,11,35071,5,1046
"Simon",9,0,12,33780,6,1046
"James",8,0,13,34770,7,1046
"Jordan",6,0,15,32688,8,1046
"Lester",17,0,4,36498,1,1047
"Paul",13,0,8,36598,2,1047
"Anthony",13,0,8,35631,3,1047
"Mark",11,0,10,36096,4,1047
"Luke",11,0,10,34719,5,1047
"James",9,0,12,35138,6,1047
"Simon",5,0,16,32975,7,1047
"Jordan",5,0,16,32895,8,1047
"Lester",15,0,6,35984,1,1048
"Paul",14,0,7,36510,2,1048
"Mark",11,0,10,35369,3,1048
"Anthony",11,0,10,35187,4,1048
"Luke",11,0,10,35034,5,1048
"James",8,0,13,34376,6,1048
"Jordan",8,0,13,33127,7,1048
"Simon",6,0,15,33416,8,1048
"Paul",16,0,5,37433,1,1049
"Lester",14,0,7,36032,2,1049
"Luke",10,0,11,35067,3,1049
"Anthony",10,0,11,34529,4,1049
"Mark",9,0,12,35375,5,1049
"James",9,0,12,34553,6,1049
"Jordan",9,0,12,33669,7,1049
"Simon",7,0,14,33860,8,1049
"Lester",14,0,7,36835,1,1050
"Paul",13,0,8,36748,2,1050
"Anthony",13,0,8,35429,3,1050
"Luke",13,0,8,35126,4,1050
"James",11,0,10,34946,5,1050
"Mark",8,0,13,35330,6,1050
"Jordan",7,0,14,33668,7,1050
"Simon",5,0,16,32480,8,1050
"Paul",14,0,7,37100,1,1051
"Lester",13,0,8,36243,2,1051
"Mark",12,0,9,36056,3,1051
"Luke",12,0,9,34601,4,1051
"Anthony",11,0,10,35342,5,1051
"James",10,0,11,34581,6,1051
"Jordan",7,0,14,33243,7,1051
"Simon",5,0,16,33856,8,1051
"Lester",15,0,6,36943,1,1052
"Paul",14,0,7,37705,2,1052
"Mark",11,0,10,35191,3,1052
"Luke",11,0,10,34818,4,1052
"Anthony",10,0,11,35067,5,1052
"James",10,0,11,34234,6,1052
"Jordan",7,0,14,33120,7,1052
"Simon",6,0,15,33686,8,1052
"Lester",14,0,7,36767,1,1053
"Mark",14,0,7,35454,2,1053
"Paul",13,0,8,36637,3,1053
"Anthony",13,0,8,35156,4,1053
"Simon",9,0,12,34511,5,1053
"James",8,0,13,34652,6,1053
"Luke",8,0,13,34603,7,1053
"Jordan",5,0,16,32648,8,1053
"Lester",16,0,5,37461,1,1054
"Paul",14,0,7,36303,2,1054
"Luke",11,0,10,35204,3,1054
"James",11,0,10,35199,4,1054
"Mark",10,0,11,35957,5,1054
"Anthony",10,0,11,35079,6,1054
"Simon",8,0,13,33893,7,1054
"Jordan",4,0,17,33072,8,1054
"Lester",16,0,5,36128,1,1055
"Paul",14,0,7,37061,2,1055
"Mark",12,0,9,35759,3,1055
"Luke",12,0,9,34791,4,1055
"Anthony",10,0,11,35652,5,1055
"James",8,0,13,34784,6,1055
"Jordan",8,0,13,32974,7,1055
"Simon",4,0,17,33016,8,1055
"Lester",16,0,5,37199,1,1056
"Paul",14,0,7,36906,2,1056
"Anthony",13,0,8,35108,3,1056
"Mark",12,0,9,35724,4,1056
"James",8,0,13,34521,5,1056
"Luke",8,0,13,34039,6,1056
"Jordan",7,0,14,33092,7,1056
"Simon",6,0,15,33192,8,1056
"Paul",15,0,6,37627,1,1057
"Lester",12,0,9,36082,2,1057
"Anthony",12,0,9,35412,3,1057
"Mark",12,0,9,35384,4,1057
"Luke",11,0,10,34682,5,1057
"Jordan",10,0,11,33605,6,1057
"James",7,0,14,34902,7,1057
"Simon",5,0,16,33780,8,1057
"Lester",16,0,5,36880,1,1058
"Paul",14,0,7,36178,2,1058
"Anthony",11,0,10,35387,3,1058
"James",11,0,10,34738,4,1058
"Luke",9,0,12,35176,5,1058
"Mark",8,0,13,35322,6,1058
"Jordan",8,0,13,33057,7,1058
"Simon",7,0,14,33069,8,1058
"Paul",13,0,8,36467,1,1059
"Anthony",12,0,9,35644,2,1059
"Lester",11,0,10,35826,3,1059
"Mark",11,0,10,35578,4,1059
"James",11,0,10,35265,5,1059
"Luke",10,0,11,35075,6,1059
"Simon",9,0,12,33753,7,1059
"Jordan",7,0,14,33438,8,1059
"Lester",15,0,6,36642,1,1060
"James",14,0,7,35295,2,1060
"Paul",13,0,8,37120,3,1060
"Luke",11,0,10,34510,4,1060
"Anthony",9,0,12,35490,5,1060
"Jordan",8,0,13,33227,6,1060
"Mark",7,0,14,34694,7,1060
"Simon",7,0,14,33222,8,1060
"Lester",14,0,7,36047,1,1061
"Paul",13,0,8,36848,2,1061
"Mark",12,0,9,35611,3,1061
"James",12,0,9,35505,4,1061
"Anthony",12,0,9,35142,5,1061
"Luke",11,0,10,35193,6,1061
