"coach","wins","draws","losses","total_points","position","simulation"
"Luke",12,0,9,35138,3,20
"Paul",11,0,10,35887,4,20
"Mark",11,0,10,35552,5,20
"James",11,0,10,34671,6,20
"Jordan",7,0,14,32629,7,20
"Simon",4,0,17,32509,8,20
"Lester",15,0,6,37099,1,21
"Anthony",13,0,8,35269,2,21
"Paul",12,0,9,36437,3,21
"Mark",12,0,9,34827,4,21
"Luke",9,0,12,34845,5,21
"James",9,0,12,34355,6,21
"Jordan",8,0,13,32897,7,21
"Simon",6,0,15,33396,8,21
"Paul",14,0,7,36655,1,22
"Lester",13,0,8,36135,2,22
"Anthony",13,0,8,35349,3,22
"Jordan",12,0,9,33409,4,22
"James",9,0,12,34841,5,22
"Luke",9,0,12,34378,6,22
"Mark",8,0,13,35087,7,22
"Simon",6,0,15,33590,8,22
"Paul",13,0,8,36629,1,23
"Lester",12,0,9,36004,2,23
"Anthony",12,0,9,35263,3,23
"James",11,0,10,35188,4,23
"Mark",10,0,11,35547,5,23
"Luke",10,0,11,35191,6,23
"Simon",8,0,13,34291,7,23
"Jordan",8,0,13,33048,8,23
"Lester",15,0,6,36413,1,24
"Paul",13,0,8,35991,2,24
"Mark",12,0,9,35623,3,24
"Anthony",10,0,11,35636,4,24
"James",10,0,11,35085,5,24
"Jordan",9,0,12,33124,6,24
"Luke",8,0,13,34380,7,24
"Simon",7,0,14,33998,8,24
"Lester",17,0,4,37126,1,25
"Paul",13,0,8,36331,2,25
"Mark",13,0,8,35464,3,25
"Anthony",13,0,8,35019,4,25
"Luke",9,0,12,34891,5,25
"James",8,0,13,34184,6,25
"Jordan",6,0,15,33201,7,25
"Simon",5,0,16,32790,8,25
"Paul",12,0,9,37079,1,26
"Mark",12,0,9,35886,2,26
"Anthony",12,0,9,35395,3,26
"Lester",11,0,10,35671,4,26
"James",11,0,10,34996,5,26
"Luke",10,0,11,35155,6,26
"Jordan",9,0,12,33997,7,26
"Simon",7,0,14,34152,8,26
"Paul",14,0,7,36858,1,27
"Lester",14,0,7,36116,2,27
"Luke",12,0,9,36033,3,27
"Jordan",12,0,9,34455,4,27
"Anthony",11,0,10,35300,5,27
"James",9,0,12,34796,6,27
"Mark",7,0,14,35465,7,27
"Simon",5,0,16,33169,8,27
"Paul",15,0,6,36795,1,28
"Lester",15,0,6,36219,2,28
"Anthony",11,0,10,35903,3,28
"Mark",10,0,11,35132,4,28
"James",10,0,11,34699,5,28
"Jordan",10,0,11,33373,6,28
"Luke",7,0,14,34552,7,28
"Simon",6,0,15,32552,8,28
"Lester",14,0,7,36192,1,29
"Paul",13,0,8,36343,2,29
"Anthony",12,0,9,35151,3,29
"James",10,0,11,35454,4,29
"Mark",10,0,11,35210,5,29
"Luke",10,0,11,34669,6,29
"Simon",8,0,13,33113,7,29
"Jordan",7,0,14,32372,8,29
"Lester",15,0,6,36591,1,30
"Paul",13,0,8,37174,2,30
"Mark",12,0,9,36939,3,30
"Luke",12,0,9,35245,4,30
"Anthony",12,0,9,34960,5,30
"James",8,0,13,34088,6,30
"Jordan",8,0,13,32683,7,30
"Simon",4,0,17,33286,8,30
"Paul",17,0,4,36597,1,31
"Lester",15,0,6,36447,2,31
"Anthony",14,0,7,35729,3,31
"Mark",10,0,11,34913,4,31
"Luke",9,0,12,34969,5,31
"James",7,0,14,34940,6,31
"Simon",7,0,14,33613,7,31
"Jordan",5,0,16,32495,8,31
"Paul",15,0,6,37383,1,32
"Mark",13,0,8,36106,2,32
"Lester",13,0,8,35973,3,32
"Anthony",12,0,9,34948,4,32
"Luke",11,0,10,35234,5,32
"James",8,0,13,34410,6,32
"Simon",8,0,13,33163,7,32
"Jordan",4,0,17,32012,8,32
"Paul",14,0,7,36974,1,33
"Lester",13,1,7,36535,2,33
"Mark",13,0,8,36356,3,33
"James",12,0,9,35317,4,33
"Luke",10,1,10,35156,5,33
"Anthony",9,0,12,34996,6,33
"Simon",7,0,14,34081,7,33
"Jordan",5,0,16,33174,8,33
"Paul",16,0,5,37097,1,34
"Lester",14,0,7,36445,2,34
"Anthony",13,0,8,35290,3,34
"Luke",11,0,10,34754,4,34
"Jordan",9,0,12,33342,5,34
"Mark",8,0,13,35145,6,34
"James",8,0,13,34286,7,34
"Simon",5,0,16,32470,8,34
"Paul",14,0,7,36876,1,35
"Mark",12,0,9,35470,2,35
"Anthony",12,0,9,34904,3,35
"Lester",11,0,10,36398,4,35
"Luke",11,0,10,34450,5,35
"James",9,0,12,34465,6,35
"Jordan",9,0,12,33607,7,35
