"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Lester",1.0234,14,13,10000,6457,3720,0,10000,1,0.646,0.372,0
"Paul",2.3005,13,12,10000,6796,3644,0,10000,1,0.68,0.364,0
"Mark",3.6794,12,11,10000,4083,1918,0,10000,1,0.408,0.192,0
"Luke",2.9967,13,12,10000,2664,738,0,10000,1,0.266,0.074,0
"Anthony",5.2513,10,9,0,0,0,0,10000,0,0,0,0
"James",5.7487,10,9,0,0,0,0,10000,0,0,0,0
"Jordan",7,9,8,0,0,0,0,10000,0,0,0,0
"Simon",8,6,5,0,0,0,10000,10000,0,0,0,1
