"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.7647,14,10,9569,6117,3508,0,10000,0.957,0.612,0.351,0
"Lester",1.362,16,12,9999,6060,3409,0,10000,1,0.606,0.341,0
"Mark",3.9415,13,9,7313,3452,1589,0,10000,0.731,0.345,0.159,0
"Luke",2.4476,15,11,9625,3014,956,0,10000,0.963,0.301,0.096,0
"Anthony",5.3378,12,8,1893,798,333,0,10000,0.189,0.08,0.033,0
"James",5.6134,12,8,1392,507,215,0,10000,0.139,0.051,0.021,0
"Jordan",6.5355,11,7,209,52,15,25,10000,0.021,0.005,0.002,0.002
"Simon",7.9975,7,3,0,0,0,9975,10000,0,0,0,0.998
