"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.2992,18,8,9241,5607,3226,0,10000,0.924,0.561,0.323,0
"Lester",1.9748,18,8,9570,5345,2775,2,10000,0.957,0.534,0.278,0
"Mark",3.806,17,6,6683,3151,1484,105,10000,0.668,0.315,0.148,0.011
"Anthony",3.8788,16,6,6503,2854,1282,68,10000,0.65,0.285,0.128,0.007
"Luke",4.4123,16,5,4905,1848,781,176,10000,0.49,0.185,0.078,0.018
"James",5.4825,16,4,2435,981,404,796,10000,0.244,0.098,0.04,0.08
"Jordan",6.7309,13,3,548,179,51,2795,10000,0.055,0.018,0.005,0.28
"Simon",7.4155,12,2,115,35,17,6058,10000,0.012,0.004,0.002,0.606
