"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.6524,15,9,8951,5531,3287,0,10000,0.895,0.553,0.329,0
"Lester",1.9653,16,10,9747,5488,2856,0,10000,0.975,0.549,0.286,0
"Mark",2.8757,15,9,8754,4498,2108,0,10000,0.875,0.45,0.211,0
"Luke",3.3904,15,9,7774,2616,981,0,10000,0.777,0.262,0.098,0
"Anthony",5.1875,13,7,2569,1098,504,35,10000,0.257,0.11,0.05,0.004
"James",5.5722,13,7,1770,642,245,132,10000,0.177,0.064,0.024,0.013
"Jordan",6.4307,12,6,435,127,39,515,10000,0.044,0.013,0.004,0.052
"Simon",7.9258,9,3,0,0,0,9318,10000,0,0,0,0.932
