"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Lester",1.1371,16,13,10000,6665,3719,0,10000,1,0.666,0.372,0
"Paul",2.4243,14,11,9927,6472,3598,0,10000,0.993,0.647,0.36,0
"Mark",3.5919,13,10,8695,3661,1670,0,10000,0.87,0.366,0.167,0
"Luke",3.1104,14,11,9194,2518,759,0,10000,0.919,0.252,0.076,0
"James",5.198,12,9,1686,516,184,0,10000,0.169,0.052,0.018,0
"Anthony",5.729,11,8,498,168,86,0,10000,0.05,0.017,0.009,0
"Jordan",6.8093,10,7,0,0,0,0,10000,0,0,0,0
"Simon",8,6,3,0,0,0,10000,10000,0,0,0,1
