"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.3289,17,8,9400,5659,3202,0,10000,0.94,0.566,0.32,0
"Lester",1.9603,17,9,9682,5421,2826,0,10000,0.968,0.542,0.283,0
"Mark",3.3723,17,7,7750,3810,1844,3,10000,0.775,0.381,0.184,0
"Luke",3.4321,16,7,7594,2837,1120,1,10000,0.759,0.284,0.112,0
"Anthony",4.5628,15,7,4252,1800,821,29,10000,0.425,0.18,0.082,0.003
"James",5.8898,14,4,1090,412,190,500,10000,0.109,0.041,0.019,0.05
"Jordan",6.7226,12,4,229,60,21,1663,10000,0.023,0.006,0.002,0.166
"Simon",7.7312,11,2,3,1,0,7804,10000,0,0,0,0.78
