"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.4616,16,9,9410,5672,3359,0,10000,0.941,0.567,0.336,0
"Lester",1.3846,18,10,9965,5802,2857,0,10000,0.997,0.58,0.286,0
"Mark",3.3519,16,8,8133,3836,1884,0,10000,0.813,0.384,0.188,0
"Luke",3.8492,15,7,7006,2579,1015,2,10000,0.701,0.258,0.102,0
"Anthony",5.2908,14,6,2617,1165,547,72,10000,0.262,0.116,0.055,0.007
"James",5.6018,14,6,1823,679,273,88,10000,0.182,0.068,0.027,0.009
"Jordan",6.1128,13,5,1046,267,82,310,10000,0.105,0.027,0.008,0.031
"Simon",7.9473,9,2,0,0,0,9528,10000,0,0,0,0.953
