"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Lester",1.725,17,10,9851,5531,2895,0,10000,0.985,0.553,0.29,0
"Paul",3.1784,15,8,8249,4899,2824,5,10000,0.825,0.49,0.282,0
"Mark",2.3824,16,9,9418,4789,2348,0,10000,0.942,0.479,0.235,0
"Luke",3.6939,15,8,7354,2780,1096,15,10000,0.735,0.278,0.11,0.002
"Anthony",5.513,13,6,2115,909,417,310,10000,0.212,0.091,0.042,0.031
"James",5.8218,13,6,1555,624,274,513,10000,0.156,0.062,0.027,0.051
"Jordan",5.867,13,6,1454,467,167,551,10000,0.145,0.047,0.017,0.055
"Simon",7.8185,10,3,4,1,1,8606,10000,0,0,0,0.861
