"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Anthony",1.7476,20,8,9820,5747,3139,0,10000,0.982,0.575,0.314,0
"Luke",1.7745,20,8,9814,5811,3128,3,10000,0.981,0.581,0.313,0
"Lester",4.5488,16,5,5263,2461,1259,572,10000,0.526,0.246,0.126,0.057
"Mark",4.01,17,5,6677,2682,1117,263,10000,0.668,0.268,0.112,0.026
"Paul",5.5086,15,3,2985,1318,590,1402,10000,0.298,0.132,0.059,0.14
"Simon",5.8107,15,3,2301,896,385,1835,10000,0.23,0.09,0.038,0.184
"Jordan",6.0038,15,3,2056,681,231,2281,10000,0.206,0.068,0.023,0.228
"James",6.596,14,2,1084,404,168,3644,10000,0.108,0.04,0.017,0.364
