"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Anthony",2.3592,21,6,8903,4759,2497,62,10000,0.89,0.476,0.25,0.006
"Luke",3.0828,19,5,7854,4198,2177,158,10000,0.785,0.42,0.218,0.016
"Lester",3.0818,19,5,7886,4088,2058,166,10000,0.789,0.409,0.206,0.017
"Mark",4.0693,18,4,6000,2773,1357,492,10000,0.6,0.277,0.136,0.049
"Paul",5.6962,15,2,2641,1300,650,2070,10000,0.264,0.13,0.065,0.207
"James",5.7763,16,2,2471,1120,539,2124,10000,0.247,0.112,0.054,0.212
"Simon",5.9277,17,2,2196,934,415,2407,10000,0.22,0.093,0.042,0.241
"Jordan",6.0067,16,2,2049,828,338,2521,10000,0.205,0.083,0.034,0.252
