"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Anthony",1.5494,20,9,9935,5895,3199,1,10000,0.994,0.59,0.32,0
"Luke",1.9953,19,8,9777,5784,3125,3,10000,0.978,0.578,0.312,0
"Lester",4.1247,16,5,6523,3058,1534,223,10000,0.652,0.306,0.153,0.022
"Mark",3.6485,17,6,7608,2901,1170,113,10000,0.761,0.29,0.117,0.011
"Paul",5.9583,14,3,1906,809,379,2037,10000,0.191,0.081,0.038,0.204
"James",6.1495,14,3,1556,569,236,2336,10000,0.156,0.057,0.024,0.234
"Simon",6.1618,14,3,1506,589,239,2254,10000,0.151,0.059,0.024,0.225
"Jordan",6.4125,14,3,1189,395,143,3033,10000,0.119,0.04,0.014,0.303
