season,round,fixture,matchup,teamID,teamName,coachID,coachName,team_score
2016,13,1,t1,201607,Bontback Mountain,10857,Melons,1452
2016,13,1,t2,201604,Gawn Girl,8258,Chief,1213
2016,13,2,t1,201605,Brave Hartung,45168,Kappaz,1558
2016,13,2,t2,201603,Game of Jones,21562,Richo,1423
2016,13,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1457
2016,13,3,t2,201606,Steele Rebuilding,86078,Lester,1254
2016,13,4,t1,201608,Such is Fyfe,300791,Pmac,1059
2016,13,4,t2,201602,We're Not Gwilty,71052,Garter,1109
2016,14,1,t1,201607,Bontback Mountain,10857,Melons,1318
2016,14,1,t2,201602,We're Not Gwilty,71052,Garter,1416
2016,14,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1198
2016,14,2,t2,201604,Gawn Girl,8258,Chief,946
2016,14,3,t1,201603,Game of Jones,21562,Richo,1212
2016,14,3,t2,201606,Steele Rebuilding,86078,Lester,1244
2016,14,4,t1,201605,Brave Hartung,45168,Kappaz,1591
2016,14,4,t2,201608,Such is Fyfe,300791,Pmac,1615
2016,15,1,t1,201601,Cotch Me If Ya Can,180650,Jmerc,702
2016,15,1,t2,201602,We're Not Gwilty,71052,Garter,1536
2016,15,2,t1,201603,Game of Jones,21562,Richo,876
2016,15,2,t2,201604,Gawn Girl,8258,Chief,1368
2016,15,3,t1,201605,Brave Hartung,45168,Kappaz,773
2016,15,3,t2,201606,Steele Rebuilding,86078,Lester,1411
2016,15,4,t1,201607,Bontback Mountain,10857,Melons,1659
2016,15,4,t2,201608,Such is Fyfe,300791,Pmac,1320
2016,16,1,t1,201607,Bontback Mountain,10857,Melons,1658
2016,16,1,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1457
2016,16,2,t1,201603,Game of Jones,21562,Richo,1601
2016,16,2,t2,201602,We're Not Gwilty,71052,Garter,1635
2016,16,3,t1,201605,Brave Hartung,45168,Kappaz,1609
2016,16,3,t2,201604,Gawn Girl,8258,Chief,1631
2016,16,4,t1,201606,Steele Rebuilding,86078,Lester,1823
2016,16,4,t2,201608,Such is Fyfe,300791,Pmac,1634
2016,17,1,t1,201607,Bontback Mountain,10857,Melons,1740
2016,17,1,t2,201603,Game of Jones,21562,Richo,1547
2016,17,2,t1,201604,Gawn Girl,8258,Chief,1799
2016,17,2,t2,201606,Steele Rebuilding,86078,Lester,1533
2016,17,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1483
2016,17,3,t2,201608,Such is Fyfe,300791,Pmac,1633
2016,17,4,t1,201605,Brave Hartung,45168,Kappaz,1764
2016,17,4,t2,201602,We're Not Gwilty,71052,Garter,1509
2016,18,1,t1,201607,Bontback Mountain,10857,Melons,1756
2016,18,1,t2,201605,Brave Hartung,45168,Kappaz,1797
2016,18,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1536
2016,18,2,t2,201603,Game of Jones,21562,Richo,1604
2016,18,3,t1,201604,Gawn Girl,8258,Chief,1638
2016,18,3,t2,201608,Such is Fyfe,300791,Pmac,1505
2016,18,4,t1,201606,Steele Rebuilding,86078,Lester,1706
2016,18,4,t2,201602,We're Not Gwilty,71052,Garter,1714
2016,19,1,t1,201607,Bontback Mountain,10857,Melons,1698
2016,19,1,t2,201606,Steele Rebuilding,86078,Lester,1556
2016,19,2,t1,201605,Brave Hartung,45168,Kappaz,1803
2016,19,2,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1514
2016,19,3,t1,201603,Game of Jones,21562,Richo,1640
2016,19,3,t2,201608,Such is Fyfe,300791,Pmac,1610
2016,19,4,t1,201604,Gawn Girl,8258,Chief,1574
2016,19,4,t2,201602,We're Not Gwilty,71052,Garter,1683
2016,20,1,t1,201607,Bontback Mountain,10857,Melons,1628
2016,20,1,t2,201604,Gawn Girl,8258,Chief,1639
2016,20,2,t1,201605,Brave Hartung,45168,Kappaz,1802
2016,20,2,t2,201603,Game of Jones,21562,Richo,1575
2016,20,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1611
2016,20,3,t2,201606,Steele Rebuilding,86078,Lester,1561
2016,20,4,t1,201608,Such is Fyfe,300791,Pmac,1735
2016,20,4,t2,201602,We're Not Gwilty,71052,Garter,1735
2016,21,1,t1,201607,Bontback Mountain,10857,Melons,1755
2016,21,1,t2,201602,We're Not Gwilty,71052,Garter,1571
2016,21,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1611
2016,21,2,t2,201604,Gawn Girl,8258,Chief,1708
2016,21,3,t1,201603,Game of Jones,21562,Richo,1588
2016,21,3,t2,201606,Steele Rebuilding,86078,Lester,1488
2016,21,4,t1,201605,Brave Hartung,45168,Kappaz,1534
2016,21,4,t2,201608,Such is Fyfe,300791,Pmac,1663
2016,22,1,t1,201607,Bontback Mountain,10857,Melons,1779
2016,22,1,t2,201605,Brave Hartung,45168,Kappaz,1587
2016,22,2,t1,201604,Gawn Girl,8258,Chief,1726
2016,22,2,t2,201606,Steele Rebuilding,86078,Lester,1584
2016,23,1,t1,201607,Bontback Mountain,10857,Melons,1656
2016,23,1,t2,201604,Gawn Girl,8258,Chief,1647
2017,1,1,t1,20170175,Show Me The Mundy,300791,Pmac,1617
2017,1,1,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1644
2017,1,2,t1,20170177,Free Tibont,10857,Melons,1740
2017,1,2,t2,20170178,Libba Let Die,8258,Chief,1562
2017,1,3,t1,20170179,I Dream of Viney,21562,Richo,1644
2017,1,3,t2,20170180,Tuohy's Extra Dry,71052,Garter,1689
2017,1,4,t1,20170181,Absolute Steins,86078,Lester,1581
2017,1,4,t2,20170182,Wholesome Beams,45168,Kappaz,1776
2017,2,1,t1,20170177,Free Tibont,10857,Melons,1552
2017,2,1,t2,20170175,Show Me The Mundy,300791,Pmac,1660
2017,2,2,t1,20170179,I Dream of Viney,21562,Richo,1691
2017,2,2,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1538
2017,2,3,t1,20170178,Libba Let Die,8258,Chief,1623
2017,2,3,t2,20170182,Wholesome Beams,45168,Kappaz,1793
2017,2,4,t1,20170181,Absolute Steins,86078,Lester,1651
2017,2,4,t2,20170180,Tuohy's Extra Dry,71052,Garter,1284
2017,3,1,t1,20170179,I Dream of Viney,21562,Richo,1599
2017,3,1,t2,20170175,Show Me The Mundy,300791,Pmac,1771
2017,3,2,t1,20170177,Free Tibont,10857,Melons,1619
2017,3,2,t2,20170182,Wholesome Beams,45168,Kappaz,1790
2017,3,3,t1,20170181,Absolute Steins,86078,Lester,1528
2017,3,3,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1708
2017,3,4,t1,20170178,Libba Let Die,8258,Chief,1482
2017,3,4,t2,20170180,Tuohy's Extra Dry,71052,Garter,1537
2017,4,1,t1,20170175,Show Me The Mundy,300791,Pmac,1558
2017,4,1,t2,20170182,Wholesome Beams,45168,Kappaz,1648
2017,4,2,t1,20170181,Absolute Steins,86078,Lester,1671
2017,4,2,t2,20170179,I Dream of Viney,21562,Richo,1598
2017,4,3,t1,20170177,Free Tibont,10857,Melons,1636
2017,4,3,t2,20170180,Tuohy's Extra Dry,71052,Garter,1899
2017,4,4,t1,20170178,Libba Let Die,8258,Chief,1572
2017,4,4,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1660
2017,5,1,t1,20170181,Absolute Steins,86078,Lester,1513
2017,5,1,t2,20170175,Show Me The Mundy,300791,Pmac,1617
2017,5,2,t1,20170180,Tuohy's Extra Dry,71052,Garter,1681
2017,5,2,t2,20170182,Wholesome Beams,45168,Kappaz,1613
2017,5,3,t1,20170179,I Dream of Viney,21562,Richo,1503
2017,5,3,t2,20170178,Libba Let Die,8258,Chief,1550
2017,5,4,t1,20170177,Free Tibont,10857,Melons,1695
2017,5,4,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1806
2017,6,1,t1,20170175,Show Me The Mundy,300791,Pmac,1691
2017,6,1,t2,20170180,Tuohy's Extra Dry,71052,Garter,1592
2017,6,2,t1,20170181,Absolute Steins,86078,Lester,1580
2017,6,2,t2,20170178,Libba Let Die,8258,Chief,1270
2017,6,3,t1,20170176,TitchDntKillMyVibe,180650,Jmerc,1454
2017,6,3,t2,20170182,Wholesome Beams,45168,Kappaz,1548
2017,6,4,t1,20170177,Free Tibont,10857,Melons,1679
2017,6,4,t2,20170179,I Dream of Viney,21562,Richo,1868
2017,7,1,t1,20170178,Libba Let Die,8258,Chief,1469
2017,7,1,t2,20170175,Show Me The Mundy,300791,Pmac,1810
2017,7,2,t1,20170176,TitchDntKillMyVibe,180650,Jmerc,1506
