,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
43,Def,,,Lachie Whitfield,GWS,No,23.3,-4.7,,92,94.7,41,,18.9,21,29,12143,294305,CD_I294305,,
44,Mid,,,Josh Daicos,COL,No,15.4,-12.2,,89,94.7,62,Interrupted pre-season (Moderate): foot injury rehab. May resume training in Feb.,16.6,23,25,12573,1005054,CD_I1005054,,
45,Mid,,,Sam Walsh,CAR,No,15.3,-12.3,,100,94.6,29,"Interrupted pre-season (Moderate): Back issues (previous injury), may miss games and effect scoring.",23.5,15,23,12684,1006094,CD_I1006094,,
46,Ruck,,,Kieren Briggs,GWS,No,11.4,-8.2,,91,94.1,50,,19.4,14,24,12904,1008436,CD_I1008436,,
47,Mid,,,Jai Newcombe,HAW,No,14,-13.6,,93,93.3,53,,22.5,22,22,12915,1020895,CD_I1020895,,
48,Def,,,Dan Houston,PTA,No,21.3,-6.7,,99,92.7,46,Role: Best defender fixture for the season.,27.2,23,26,12495,994295,CD_I994295,,
49,Mid,,,Chad Warner,SYD,No,13.4,-14.2,,98,92.7,60,,20.9,20,22,12797,1012014,CD_I1012014,,
50,Def,,,Jayden Short,RIC,No,21.1,-6.9,,99,92.5,47,"Role: set to play pure half back again, which has been better for his scoring.",23.1,16,27,12418,992049,CD_I992049,,
51,Ruck,,,Max Gawn,MEL,No,9.4,-10.2,,105,92.1,17,Role: Sole ruck with Grundy traded to Sydney,29.7,20,31,11966,290528,CD_I290528,,
52,Mid,,,Matt Rowell,GCS,No,12.7,-14.9,,90,92,73,,19.9,23,22,12768,1009208,CD_I1009208,,
53,Mid,,,Will Setterfield,ESS,No,12.7,-14.9,,82,92,91,,23.2,10,25,12567,998215,CD_I998215,,
54,Fwd,Mid,,Jack Macrae,WBD,Yes,27.3,0,,90,91.8,24,"Interrupted preseason (Moderate): Hamstring injury. Watch role, potential upside if more midfield time.",21.5,22,29,12166,295467,CD_I295467,,
55,Mid,,,Tom Mitchell,COL,No,12.5,-15.1,,89,91.8,69,"Role: Managed frequently in 2023, sub-risk in fourth quarter. Finals averaged 100.",22.8,23,30,12196,291856,CD_I291856,,
56,Mid,,,Mason Wood,STK,No,12.3,-15.3,,84,91.6,88,,20.3,23,30,12312,295340,CD_I295340,,
57,Def,,,Nasiah Wanganeen-Milera,STK,No,19.9,-8.1,,87,91.3,58,,22.1,23,20,12950,1015507,CD_I1015507,,
58,Def,,,Mitch Duncan,GEE,No,19.8,-8.2,,85,91.2,64,,24.4,16,32,11798,281065,CD_I281065,,
59,Ruck,,,Jarrod Witts,GCS,No,8.1,-11.5,,90,90.8,59,,16.5,21,31,12177,291975,CD_I291975,,
60,Fwd,,,Dustin Martin,RIC,No,25.5,-1.8,,93,90,51,Role: Set for greater mid time but still playing mid/fwd split.,19.2,20,32,11794,290847,CD_I290847,,
61,Fwd,Mid,,Caleb Daniel,WBD,Yes,25.4,-1.9,,90,89.9,48,,22.3,23,27,12373,295136,CD_I295136,,
62,Mid,,,Luke Parker,SYD,No,10.6,-17,,87,89.9,84,,21.2,22,31,11953,290778,CD_I290778,,
63,Def,,,Jake Lloyd,SYD,No,18.3,-9.7,,84,89.7,65,,19.4,22,30,12268,295342,CD_I295342,,
64,Fwd,Mid,,Sam Flanders,GCS,Yes,25.1,-2.2,,99,89.6,36,Role: Set to assume same high scoring role seen in back half of season.,32.3,14,22,12824,1009260,CD_I1009260,,
65,Mid,,,Dom Sheed,WCE,No,10.3,-17.3,,85,89.6,92,Interrupted pre-season (Major): significant injury risk.,26.7,15,28,12253,296296,CD_I296296,,
66,Mid,,,Matt Crouch,ADE,No,10,-17.6,,95,89.3,85,Role: Set to assume high midfield role.,26.6,7,28,12258,297401,CD_I297401,,
67,Mid,,,Hugh McCluggage,BRL,No,10,-17.6,,97,89.3,67,Role: Will perform better in first half of season with Ashcroft out.,20.2,22,25,12518,1000978,CD_I1000978,,
