"id","feed_id","first_name","last_name","team","pos","avg","adp","rank"
695,"297373","Marcus","Bontempelli","WBD","MID",129.65,1.8812,1
706,"1004592","Tim","English","WBD","RUC",127.96,3.5262,2
138,"1023261","Nick","Daicos","COL","DEF/MID",116.3,4.0102,3
459,"298210","Christian","Petracca","MEL","MID",119.48,5.4074,4
20,"293222","Rory","Laird","ADE","MID",116.86,9.7273,5
9,"992242","Jordan","Dawson","ADE","MID",115.87,10.9615,6
458,"996701","Clayton","Oliver","MEL","MID",120.62,11.6727,7
197,"992016","Zach","Merrett","ESS","MID",116.32,12.0845,8
425,"297566","James","Sicily","HAW","DEF",114.05,12.3376,9
526,"1006121","Zak","Butters","PTA","MID",113.83,12.4108,10
629,"992468","Rowan","Marshall","STK","RUC",114.35,12.6038,11
663,"1013128","Errol","Gulden","SYD","MID",111.3,13.2201,12
342,"291800","Tom","Stewart","GEE","DEF",113.68,15.0911,13
362,"1009528","Tom","Green","GWS","MID",111.21,17.1756,14
54,"993834","Josh","Dunkley","BRL","MID",115.24,17.4223,15
717,"290799","Tom","Liberatore","WBD","MID",116.05,17.7714,16
443,"290528","Max","Gawn","MEL","RUC",104.45,18.5474,17
483,"1002267","Luke","Davies-Uniacke","NTH","MID",113.64,18.8906,18
242,"1009420","Caleb","Serong","FRE","MID",111.23,21.3235,19
72,"293535","Lachie","Neale","BRL","MID",110.39,23.8778,20
241,"998659","Luke","Ryan","FRE","DEF",109.48,24.9794,21
639,"994389","Jack","Sinclair","STK","DEF",106.7,25.0847,22
215,"1002232","Andrew","Brayshaw","FRE","MID",108.96,25.1401,23
552,"1001299","Connor","Rozee","PTA","MID",107.57,27.4771,24
719,"295467","Jack","Macrae","WBD","MID/FWD",99.91,29.4866,25
126,"1006094","Sam","Walsh","CAR","MID",103.2,31.3263,26
350,"1008436","Kieren","Briggs","GWS","RUC",108.93,31.6862,27
537,"994295","Dan","Houston","PTA","DEF",106.13,31.8905,28
