"playerName","playerId","teamAbbr","salarySuperCoach","positionSuperCoach","ownershipSuperCoach","pricedAt","age","playerIdVoid","gms","subCount","kicks","handballs","marks","tackles","hitouts","ruckContestPercentage","goals","centreBounceAttendancePercentage","kickins","playOnPercentage","timeOnGroundPercentage","FP","consistency","FPadj","FPfirst","FPsecond","FPreg","FPfin","maxFP","minFP","pointsPerMinute","gm100","gm120","gmSub90","cbaPre","kiPre","poPre","togPre","fpPre","ppmPre","changeOwn","dollarsPerPoint","rankSalary","rankReg","rankAdj","rankFirst","rankSecond","feedID"
"Hugh Jackson","CD_I1015330","PTA",119900,"MID",0.2,22.2,21,"CD_I1015330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1015330
"Indhi Kirk","CD_I1027058","SYD",119900,"MID",0.1,22.2,20,"CD_I1027058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1027058
"Tom Hanily","CD_I1027687","SYD",119900,"MID",0.1,22.2,19,"CD_I1027687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1027687
"Oliver Wiltshire","CD_I1020881","GEE",119900,"FWD/MID",0.2,22.2,22,"CD_I1020881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1020881
"Billy Wilson","CD_I1027678","CAR",119900,"DEF/MID",0.9,22.2,19,"CD_I1027678",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,"24","8.0","0.27",0,,206,,,,,1027678
"Lachlan Charleson","CD_I1014013","PTA",119900,"FWD/MID",0.2,22.2,20,"CD_I1014013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1014013
"Harry Rowston","CD_I1021122","GWS",119900,"MID",0.7,22.2,20,"CD_I1021122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1021122
"Harry DeMattia","CD_I1027673","COL",119900,"MID",0.7,22.2,19,"CD_I1027673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,206,,,,,1027673
"Cooper Hynes","CD_I1029456","WBD",118000,"MID",0.7,21.9,18,"CD_I1029456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,227,,,,,1029456
"Cody Anderson","CD_I1028566","HAW",113500,"MID",1,21.1,19,"CD_I1028566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,228,,,,,1028566
"Jack Ough","CD_I1028539","GWS",113500,"MID",0.2,21.1,18,"CD_I1028539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1028539
"Cody Angove","CD_I1032619","GWS",113500,"MID/FWD",0.7,21.1,18,"CD_I1032619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1032619
"Luke Kennedy","CD_I1032112","WBD",113500,"MID",0.4,21.1,18,"CD_I1032112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1032112
"Hugh Boxshall","CD_I1029148","STK",113500,"MID",0.2,21.1,18,"CD_I1029148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1029148
"Lucas Camporeale","CD_I1022452","CAR",113500,"MID",0.7,21.1,18,"CD_I1022452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,228,,,,,1022452
"Ben Camporeale","CD_I1027282","CAR",113500,"MID",1.5,21.1,18,"CD_I1027282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1027282
"Luke Urquhart","CD_I1029281","NTH",113500,"MID",1.1,21.1,18,"CD_I1029281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1029281
"Zak Johnson","CD_I1028519","ESS",113500,"MID",0.2,21.1,18,"CD_I1028519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1028519
"Rhys Unwin","CD_I1032023","ESS",113500,"MID",0.3,21.1,18,"CD_I1032023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1032023
"Sam Marshall","CD_I1028520","BRL",113500,"MID",1.1,21.1,19,"CD_I1028520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,228,,,,,1028520
"Patrick Said","CD_I1028514","STK",113500,"MID/FWD",0.4,21.1,18,"CD_I1028514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1028514
"River Stevens","CD_I1031989","NTH",113500,"MID/FWD",0.6,21.1,18,"CD_I1031989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1031989
"Christian Moraes","CD_I1028563","PTA",113500,"MID",4,21.1,18,"CD_I1028563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1028563
"Jesse Dattoli","CD_I1029589","SYD",113500,"MID/FWD",0.8,21.1,18,"CD_I1029589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1029589
"William Hayes","CD_I1032922","COL",113500,"MID/FWD",1.9,21.1,18,"CD_I1032922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,228,,,,,1032922
"Lucca Grego","CD_I1018992","WCE",113500,"MID",0.2,21.1,18,"CD_I1018992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1018992
"Tom Gross","CD_I1028561","WCE",113500,"MID",2.9,21.1,18,"CD_I1028561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1028561
"Hamish Davis","CD_I1032624","WCE",113500,"MID/FWD",0.7,21.1,18,"CD_I1032624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,228,,,,,1032624
"Josaia Delana","CD_I1029030","GWS",99100,"MID",1.5,18.4,18,"CD_I1029030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1029030
"Archer Day-Wicks","CD_I1029265","ESS",99100,"MID/FWD",13.9,18.4,18,"CD_I1029265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,247,,,,,1029265
"Xavier Ivisic","CD_I1028489","GEE",99100,"MID",1,18.4,18,"CD_I1028489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1028489
"Patrick Retschko","CD_I1032081","GEE",99100,"MID",0.9,18.4,18,"CD_I1032081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1032081
"Jayden Nguyen","CD_I1018987","ESS",99100,"DEF/MID",3.6,18.4,18,"CD_I1018987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1018987
"Harry Charleson","CD_I1028496","CAR",99100,"DEF/MID",4.2,18.4,18,"CD_I1028496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,247,,,,,1028496
"Tom Cochrane","CD_I1022371","PTA",99100,"MID",2,18.4,19,"CD_I1022371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1022371
"Benny Barrett","CD_I1022601","PTA",99100,"MID",1.3,18.4,18,"CD_I1022601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1022601
"Zak Evans","CD_I1038801","GCS",99100,"MID",1.8,18.4,24,"CD_I1038801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,247,,,,,1038801
