"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
293957,151,"Brodie","Grundy","COL","RUC",,1,145,179,179,179,179,705900,186,"GetRichOrDieTryin","Mark",TRUE,"scoring","RUC"
290528,469,"Max","Gawn","MEL","RUC",,1,141,93,93,93,93,697100,33301,"What's Up, Doch?","Jordan",TRUE,"scoring","RUC"
295467,755,"Jack","Macrae","WBD","MID",,1,123,103,103,103,103,668900,9856,"It's always Sonny","Simon",TRUE,"scoring","MID"
293535,76,"Lachie","Neale","BRL","MID",,1,119,157,157,157,157,658500,5524,"The Dragon's Laird","Luke",TRUE,"scoring","MID"
291570,244,"Nat","Fyfe","FRE","MID",,1,118,110,110,110,110,651600,9867,"Bad Boys For Fyfe","James",TRUE,"scoring","MID"
296347,397,"Josh","Kelly","GWS","MID",,1,113,102,102,102,102,637700,186,"GetRichOrDieTryin","Mark",TRUE,"scoring","MID"
990704,94,"Patrick","Cripps","CAR","MID",,1,120,112,112,112,112,635900,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","MID"
993834,738,"Josh","Dunkley","WBD","MID",,1,120,67,67,67,67,632400,182,"Coronaviney","Paul",TRUE,"scoring","MID"
291856,440,"Tom","Mitchell","HAW","MID",,1,116,119,119,119,119,630900,33301,"What's Up, Doch?","Jordan",TRUE,"scoring","MID"
270917,335,"Patrick","Dangerfield","GEE","MID",,1,116,83,83,83,83,625500,9856,"It's always Sonny","Simon",TRUE,"scoring","MID"
297373,729,"Marcus","Bontempelli","WBD","MID",,1,108,76,76,76,76,623000,189,"The Full Bonty","Anthony",TRUE,"scoring","MID"
291790,178,"Adam","Treloar","COL","MID",,1,125,,0,0,0,615800,9806,"HoweIMetYourMother","Lester",FALSE,"nonscoring","MID"
271129,519,"Todd","Goldstein","NTH","RUC",,1,123,136,136,136,136,609400,189,"The Full Bonty","Anthony",TRUE,"scoring","RUC"
294305,414,"Lachie","Whitfield","GWS","FWD","MID",1,116,109,109,109,109,604100,182,"Coronaviney","Paul",TRUE,"scoring","FWD"
992468,668,"Rowan","Marshall","STK","RUC",,1,125,92,92,92,92,598700,9856,"It's always Sonny","Simon",TRUE,"scoring","RUC"
996701,490,"Clayton","Oliver","MEL","MID",,1,105,99,99,99,99,593900,189,"The Full Bonty","Anthony",TRUE,"scoring","MID"
295342,703,"Jake","Lloyd","SYD","DEF",,1,97,77,77,77,77,591400,5524,"The Dragon's Laird","Luke",TRUE,"scoring","DEF"
292128,816,"Elliot","Yeo","WCE","MID",,1,119,57,57,57,57,584400,9867,"Bad Boys For Fyfe","James",TRUE,"scoring","MID"
290801,787,"Andrew","Gaff","WCE","MID",,1,108,119,119,119,119,583200,182,"Coronaviney","Paul",TRUE,"scoring","MID"
250365,553,"Travis","Boak","PTA","MID",,1,102,125,125,125,125,582300,5524,"The Dragon's Laird","Luke",TRUE,"scoring","MID"
261224,90,"Dayne","Zorko","BRL","MID",,1,111,52,52,52,52,579100,33301,"What's Up, Doch?","Jordan",TRUE,"scoring","MID"
260382,700,"Josh P.","Kennedy","SYD","MID",,1,104,129,129,129,129,579000,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","MID"
992016,211,"Zach","Merrett","ESS","MID",,1,117,111,111,111,111,573600,182,"Coronaviney","Paul",TRUE,"scoring","MID"
250312,616,"Bachar","Houli","RIC","DEF",,1,100,,0,0,0,571600,182,"Coronaviney","Paul",FALSE,"nonscoring","DEF"
290778,714,"Luke","Parker","SYD","MID",,1,93,125,125,125,125,570700,9867,"Bad Boys For Fyfe","James",TRUE,"scoring","MID"
260257,165,"Scott","Pendlebury","COL","MID",,1,93,109,109,109,109,566500,186,"GetRichOrDieTryin","Mark",TRUE,"scoring","MID"
297401,6,"Matt","Crouch","ADE","MID",,1,93,68,68,68,68,563000,186,"GetRichOrDieTryin","Mark",TRUE,"scoring","MID"
240283,789,"Shannon","Hurn","WCE","DEF",,1,114,152,152,152,152,562200,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","DEF"
295898,794,"Tim","Kelly","WCE","MID",,1,112,86,86,86,86,561800,189,"The Full Bonty","Anthony",TRUE,"scoring","MID"
281065,337,"Mitch","Duncan","GEE","MID",,1,102,120,120,120,120,560600,189,"The Full Bonty","Anthony",TRUE,"scoring","MID"
270963,36,"Rory","Sloane","ADE","MID",,1,118,123,123,123,123,559300,5524,"The Dragon's Laird","Luke",TRUE,"scoring","MID"
998172,411,"Tim","Taranto","GWS","MID",,1,102,,0,0,0,555900,,,,,,
280921,513,"Ben","Cunnington","NTH","MID",,1,107,185,185,185,185,554100,182,"Coronaviney","Paul",TRUE,"scoring","MID"
294685,415,"Zac","Williams","GWS","DEF",,1,94,,0,0,0,551700,189,"The Full Bonty","Anthony",FALSE,"nonscoring","DEF"
290746,578,"Scott","Lycett","PTA","RUC",,1,100,70,70,70,70,550600,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","RUC"
290627,628,"Dion","Prestia","RIC","MID",,1,101,118,118,118,118,550200,5524,"The Dragon's Laird","Luke",TRUE,"scoring","MID"
291969,378,"Stephen","Coniglio","GWS","MID",,1,89,114,114,114,114,549500,9867,"Bad Boys For Fyfe","James",TRUE,"scoring","MID"
280078,809,"Luke","Shuey","WCE","MID",,1,105,104,104,104,104,548200,186,"GetRichOrDieTryin","Mark",TRUE,"scoring","MID"
281007,270,"Michael","Walters","FRE","FWD","MID",1,99,110,110,110,110,547200,9856,"It's always Sonny","Simon",TRUE,"scoring","FWD"
290847,620,"Dustin","Martin","RIC","FWD","MID",1,106,126,126,126,126,543000,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","FWD"
291975,323,"Jarrod","Witts","GCS","RUC",,1,106,50,50,50,50,541300,182,"Coronaviney","Paul",FALSE,"nonscoring","RUC"
295136,736,"Caleb","Daniel","WBD","DEF",,1,104,92,92,92,92,537900,9867,"Bad Boys For Fyfe","James",TRUE,"scoring","DEF"
293716,67,"Jarryd","Lyons","BRL","MID",,1,104,115,115,115,115,535400,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","MID"
294307,5,"Brad","Crouch","ADE","MID",,1,92,92,92,92,92,534100,189,"The Full Bonty","Anthony",TRUE,"scoring","MID"
291800,366,"Tom","Stewart","GEE","DEF",,1,112,100,100,100,100,533200,9806,"HoweIMetYourMother","Lester",TRUE,"scoring","DEF"
293846,676,"Sebastian","Ross","STK","MID",,1,106,84,84,84,84,530900,5524,"The Dragon's Laird","Luke",FALSE,"nonscoring","MID"
291783,219,"Dylan","Shiel","ESS","MID",,1,106,163,163,163,163,529100,9867,"Bad Boys For Fyfe","James",TRUE,"scoring","MID"
261299,108,"Matthew","Kreuzer","CAR","RUC",,1,97,33,33,33,33,528900,,,,,,
