"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Jordan",2.2421,15,11,10000,5551,2933,0,10000,1,0.555,0.293,0
"Paul",1.8066,16,12,10000,5459,2905,0,10000,1,0.546,0.29,0
"Luke",3.2568,14,10,9834,4810,2378,0,10000,0.983,0.481,0.238,0
"Simon",2.7121,15,11,9993,4110,1757,0,10000,0.999,0.411,0.176,0
"Anthony",6.3013,10,6,41,24,16,559,10000,0.004,0.002,0.002,0.056
"James",5.7928,11,7,46,19,13,356,10000,0.005,0.002,0.001,0.036
"Lester",6.0399,11,7,86,27,13,279,10000,0.009,0.003,0.001,0.028
"Mark",7.8484,8,4,0,0,0,8806,10000,0,0,0,0.881
