"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.6926,20,6,8244,4351,2288,179,10000,0.824,0.435,0.229,0.018
"James",3.4463,19,4,6994,3560,1799,360,10000,0.699,0.356,0.18,0.036
"Simon",4.4035,19,3,5199,2672,1385,896,10000,0.52,0.267,0.138,0.09
"Luke",4.4396,17,3,5135,2627,1327,994,10000,0.513,0.263,0.133,0.099
"Mark",4.575,18,3,4891,2273,1072,1104,10000,0.489,0.227,0.107,0.11
"Jordan",5.3562,17,2,3353,1674,836,1902,10000,0.335,0.167,0.084,0.19
"Anthony",5.3939,17,2,3353,1674,824,2075,10000,0.335,0.167,0.082,0.208
"Lester",5.6929,17,2,2831,1169,487,2490,10000,0.283,0.117,0.049,0.249
