"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",1.8659,16,11,9946,5406,2917,0,10000,0.995,0.541,0.292,0
"Jordan",2.3493,15,10,9703,5349,2818,0,10000,0.97,0.535,0.282,0
"Luke",3.3815,14,9,8604,4294,2154,3,10000,0.86,0.429,0.215,0
"Simon",2.7227,15,10,9582,4004,1731,0,10000,0.958,0.4,0.173,0
"James",5.7332,12,7,810,342,147,482,10000,0.081,0.034,0.015,0.048
"Anthony",6.2315,11,6,610,322,146,737,10000,0.061,0.032,0.015,0.074
"Lester",5.9284,12,7,742,282,97,404,10000,0.074,0.028,0.01,0.04
"Mark",7.7875,9,4,3,1,0,8374,10000,0,0,0,0.837
