"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",1.7146,17,10,9812,5923,3444,0,10000,0.981,0.592,0.344,0
"Luke",3.35,15,8,7838,4020,2056,20,10000,0.784,0.402,0.206,0.002
"Jordan",3.3886,15,8,7801,3906,1971,25,10000,0.78,0.391,0.197,0.002
"Simon",2.6471,16,9,9049,3872,1519,1,10000,0.905,0.387,0.152,0
"Anthony",5.3672,13,6,2652,1256,620,475,10000,0.265,0.126,0.062,0.048
"James",5.8259,13,6,1510,593,249,770,10000,0.151,0.059,0.025,0.077
"Lester",6.0116,13,6,1304,410,153,860,10000,0.13,0.041,0.015,0.086
"Mark",7.695,10,3,34,20,10,7849,10000,0.003,0.002,0.001,0.785
