"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",2.9316,19,5,7809,4311,2277,287,10000,0.781,0.431,0.228,0.029
"Luke",4.0526,18,4,5866,2892,1447,766,10000,0.587,0.289,0.145,0.077
"James",3.9927,18,4,5912,2929,1414,757,10000,0.591,0.293,0.141,0.076
"Jordan",4.838,17,3,4376,2290,1202,1452,10000,0.438,0.229,0.12,0.145
"Mark",4.971,17,3,4194,2031,1042,1591,10000,0.419,0.203,0.104,0.159
"Anthony",4.9369,18,2,4247,2090,1030,1581,10000,0.425,0.209,0.103,0.158
"Simon",4.9646,17,3,4142,2049,1014,1565,10000,0.414,0.205,0.101,0.156
"Lester",5.3126,17,2,3454,1408,603,2001,10000,0.345,0.141,0.06,0.2
