"coach","RANK.MEAN","WIN.MAX","WIN.MIN","FINALS","GFINAL","CHAMP","SPOON","sim","pcnt_finals","pcnt_gfinal","pcnt_champ","pcnt_spoon"
"Paul",1.5348,18,10,9908,5997,3402,0,10000,0.991,0.6,0.34,0
"Luke",3.0544,16,8,8729,4343,2173,20,10000,0.873,0.434,0.217,0.002
"Jordan",2.8975,16,8,8863,4420,2146,12,10000,0.886,0.442,0.215,0.001
"Simon",3.2595,16,8,8472,3539,1548,17,10000,0.847,0.354,0.155,0.002
"Anthony",5.6395,13,5,1882,886,416,883,10000,0.188,0.089,0.042,0.088
"James",6.0165,13,5,1134,467,201,1392,10000,0.113,0.047,0.02,0.139
"Lester",6.2519,13,5,878,294,107,1745,10000,0.088,0.029,0.011,0.174
"Mark",7.3459,11,3,134,54,22,5931,10000,0.013,0.005,0.002,0.593
