"id","feed_id","first_name","last_name","team","pos1","pos2","proj","adp","rank"
695,"297373","Marcus","Bontempelli","WBD","MID",,129.65,1.7132,1
706,"1004592","Tim","English","WBD","RUC",,127.96,3.0171,2
458,"996701","Clayton","Oliver","MEL","MID",,120.62,10.698,6
459,"298210","Christian","Petracca","MEL","MID",,119.48,5.3341,4
20,"293222","Rory","Laird","ADE","MID",,116.86,9.273,5
197,"992016","Zach","Merrett","ESS","MID",,116.32,11.1823,7
138,"1023261","Nick","Daicos","COL","DEF","MID",116.3,4.178,3
717,"290799","Tom","Liberatore","WBD","MID",,116.05,16.3491,14
9,"992242","Jordan","Dawson","ADE","MID",,115.87,11.4852,9
54,"993834","Josh","Dunkley","BRL","MID",,115.24,16.9506,15
629,"992468","Rowan","Marshall","STK","RUC",,114.35,12.6357,10
425,"297566","James","Sicily","HAW","DEF",,114.05,11.461,8
526,"1006121","Zak","Butters","PTA","MID",,113.83,13.1471,11
342,"291800","Tom","Stewart","GEE","DEF",,113.68,15.2098,13
483,"1002267","Luke","Davies-Uniacke","NTH","MID",,113.64,19.8105,18
663,"1013128","Errol","Gulden","SYD","MID",,111.3,14.1941,12
242,"1009420","Caleb","Serong","FRE","MID",,111.23,21.0714,19
362,"1009528","Tom","Green","GWS","MID",,111.21,18.5971,16
72,"293535","Lachie","Neale","BRL","MID",,110.39,23.3441,20
241,"998659","Luke","Ryan","FRE","DEF",,109.48,24.0147,21
215,"1002232","Andrew","Brayshaw","FRE","MID",,108.96,25.414,23
350,"1008436","Kieren","Briggs","GWS","RUC",,108.93,30.4514,26
93,"1002239","Adam","Cerra","CAR","MID",,108.32,34.8517,32
198,"993817","Darcy","Parish","ESS","MID",,108.11,33.2468,29
730,"291790","Adam","Treloar","WBD","MID",,107.68,41.0418,37
552,"1001299","Connor","Rozee","PTA","MID",,107.57,27.9701,24
639,"994389","Jack","Sinclair","STK","DEF",,106.7,24.4791,22
601,"998172","Tim","Taranto","RIC","MID",,106.65,34.1349,30
301,"291975","Jarrod","Witts","GCS","RUC",,106.14,34.3632,31
537,"994295","Dan","Houston","PTA","DEF",,106.13,31.7333,28
221,"998145","Sean","Darcy","FRE","RUC",,105.47,38.67,35
257,"1009199","Noah","Anderson","GCS","MID",,104.91,38.683,36
443,"290528","Max","Gawn","MEL","RUC",,104.45,18.9755,17
590,"298174","Toby","Nankervis","RIC","RUC",,104.33,50.2026,49
126,"1006094","Sam","Walsh","CAR","MID",,103.2,30.7243,27
762,"295898","Tim","Kelly","WCE","MID",,102.73,50.1749,48
293,"1009208","Matt","Rowell","GCS","MID",,102.3,48.1781,44
355,"291969","Stephen","Coniglio","GWS","MID",,101.7,50.2707,50
372,"296347","Josh","Kelly","GWS","MID",,101.63,49.2881,46
101,"295518","Sam","Docherty","CAR","MID",,100.6,56.6427,58
690,"1012014","Chad","Warner","SYD","MID",,100.25,49.9008,47
120,"297907","Nic","Newman","CAR","DEF",,100.19,47.7218,43
474,"291902","Jack","Viney","MEL","MID",,100.14,61.0229,65
