"id","feed_id","first_name","last_name","team","pos1","pos2","proj","adp","rank"
695,"297373","Marcus","Bontempelli","WBD","MID",,129.65,1.5974,1
706,"1004592","Tim","English","WBD","RUC",,127.96,2.945,2
458,"996701","Clayton","Oliver","MEL","MID",,120.62,10.355,6
459,"298210","Christian","Petracca","MEL","MID",,119.48,5.3236,4
20,"293222","Rory","Laird","ADE","MID",,116.86,9.0493,5
197,"992016","Zach","Merrett","ESS","MID",,116.32,10.6104,7
138,"1023261","Nick","Daicos","COL","DEF","MID",116.3,4.4774,3
717,"290799","Tom","Liberatore","WBD","MID",,116.05,16.1151,14
9,"992242","Jordan","Dawson","ADE","MID",,115.87,11.355,9
54,"993834","Josh","Dunkley","BRL","MID",,115.24,16.5559,15
629,"992468","Rowan","Marshall","STK","RUC",,114.35,12.9484,10
425,"297566","James","Sicily","HAW","DEF",,114.05,11.1903,8
526,"1006121","Zak","Butters","PTA","MID",,113.83,13.4084,11
342,"291800","Tom","Stewart","GEE","DEF",,113.68,15.4129,13
483,"1002267","Luke","Davies-Uniacke","NTH","MID",,113.64,19.2763,17
663,"1013128","Errol","Gulden","SYD","MID",,111.3,14.3766,12
242,"1009420","Caleb","Serong","FRE","MID",,111.23,20.288,19
362,"1009528","Tom","Green","GWS","MID",,111.21,18.9643,16
72,"293535","Lachie","Neale","BRL","MID",,110.39,23.268,20
241,"998659","Luke","Ryan","FRE","DEF",,109.48,23.5081,21
215,"1002232","Andrew","Brayshaw","FRE","MID",,108.96,24.8918,23
350,"1008436","Kieren","Briggs","GWS","RUC",,108.93,28.9638,25
93,"1002239","Adam","Cerra","CAR","MID",,108.32,33.1342,29
198,"993817","Darcy","Parish","ESS","MID",,108.11,33.3667,30
730,"291790","Adam","Treloar","WBD","MID",,107.68,39.5768,37
552,"1001299","Connor","Rozee","PTA","MID",,107.57,27.9935,24
639,"994389","Jack","Sinclair","STK","DEF",,106.7,24.1608,22
601,"998172","Tim","Taranto","RIC","MID",,106.65,34.0234,31
301,"291975","Jarrod","Witts","GCS","RUC",,106.14,35.0164,32
537,"994295","Dan","Houston","PTA","DEF",,106.13,31.6612,28
221,"998145","Sean","Darcy","FRE","RUC",,105.47,38.24,35
257,"1009199","Noah","Anderson","GCS","MID",,104.91,38.3569,36
443,"290528","Max","Gawn","MEL","RUC",,104.45,19.9351,18
590,"298174","Toby","Nankervis","RIC","RUC",,104.33,48.4464,46
126,"1006094","Sam","Walsh","CAR","MID",,103.2,31.4243,27
762,"295898","Tim","Kelly","WCE","MID",,102.73,48.241,45
293,"1009208","Matt","Rowell","GCS","MID",,102.3,46.9498,43
355,"291969","Stephen","Coniglio","GWS","MID",,101.7,49.489,50
372,"296347","Josh","Kelly","GWS","MID",,101.63,48.1861,44
101,"295518","Sam","Docherty","CAR","MID",,100.6,54.348,53
690,"1012014","Chad","Warner","SYD","MID",,100.25,49.219,49
120,"297907","Nic","Newman","CAR","DEF",,100.19,46.2244,40
474,"291902","Jack","Viney","MEL","MID",,100.14,59.5589,61
719,"295467","Jack","Macrae","WBD","MID","FWD",99.91,29.4084,26
509,"1023518","Harry","Sheezel","NTH","DEF",,99.52,36.4788,34
137,"1005054","Josh","Daicos","COL","MID",,99.09,54.6557,55
598,"992049","Jayden","Short","RIC","DEF",,98.63,48.8151,47
418,"1020895","Jai","Newcombe","HAW","MID",,98.27,53.7815,52
