"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round.x","projected_points","points","user_team_id","team.x","coach.x","picked","type","position.x","median_score","round.y","pick","order_id","coach.y","player_name","team.y","position.y","position_drafted","time_drafted","DEF","MID","RUC","FWD","score"
1001026,207,"Jordan","Ridley","ESS","DEF",,7,,87,23413,"The West Wingard","Simon",TRUE,"scoring","DEF",124.5,4,27,3,"Chief","J.Ridley","ESS","DEF","DEF","2021-04-11 17:57:32",3.082,,,,3.082
261224,88,"Dayne","Zorko","BRL","FWD","MID",7,,92,23345,"Pink Lloyd","Jordan",TRUE,"scoring","FWD",101,4,28,4,"Jmerc","D.Zorko","BRL","FWD MID","FWD","2021-04-11 17:57:39",,-0.242,,1.102,1.102
293871,138,"Jack","Crisp","COL","DEF",,7,,81,20323,"La MacRaena","Anthony",TRUE,"scoring","DEF",86,4,29,5,"Melons","J.Crisp","COL","DEF","DEF","2021-04-11 17:57:49",-1.076,,,,-1.076
291776,131,"Taylor","Adams","COL","MID",,7,,,2016,"At Witts End","Paul",FALSE,"non-scoring","MID",64,4,30,6,"Pmac","T.Adams","COL","MID","MID","2021-04-11 17:58:11",,-3.312,,,-3.312
993905,672,"Callum","Mills","SYD","DEF",,7,,101,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","DEF",101,4,31,7,"Richo","C.Mills","SYD","DEF","DEF","2021-04-11 17:58:16",0.544,,,,0.544
992010,153,"Brayden","Maynard","COL","DEF",,7,,72,20240,"MakingTheirMarcus","James",FALSE,"non-scoring","DEF",72,4,32,8,"Garter","B.Maynard","COL","DEF","DEF","2021-04-11 17:58:21",-2.588,,,,-2.588
1009208,298,"Matt","Rowell","GCS","MID",,7,,,20240,"MakingTheirMarcus","James",FALSE,"non-scoring","MID",6,5,33,8,"Garter","M.Rowell","GCS","MID","MID","2021-04-11 17:59:51",,-8.125,,,-8.125
295344,368,"Toby","Greene","GWS","FWD",,7,,83,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","FWD",93,5,34,7,"Richo","T.Greene","GWS","FWD","FWD","2021-04-11 18:00:08",,,,0.376,0.376
298539,661,"Isaac","Heeney","SYD","FWD",,7,,19,2016,"At Witts End","Paul",TRUE,"scoring","FWD",68,5,35,6,"Pmac","I.Heeney","SYD","FWD","FWD","2021-04-11 18:00:15",,,,-1.894,-1.894
261510,324,"Tom","Hawkins","GEE","FWD",,7,,65,20323,"La MacRaena","Anthony",TRUE,"scoring","FWD",79,5,36,5,"Melons","T.Hawkins","GEE","FWD","FWD","2021-04-11 18:00:21",,,,-0.895,-0.895
297523,30,"Reilly","O'Brien","ADE","RUC",,7,,60,23345,"Pink Lloyd","Jordan",TRUE,"scoring","RUC",101,5,37,4,"Jmerc","R.O'Brien","ADE","RUC","RUC","2021-04-11 18:00:30",,,-0.736,,-0.736
271045,753,"Nic","Naitanui","WCE","RUC",,7,,102,23413,"The West Wingard","Simon",TRUE,"scoring","RUC",100,5,38,3,"Chief","N.Naitanui","WCE","RUC","RUC","2021-04-11 18:00:34",,,-0.796,,-0.796
1006121,529,"Zak","Butters","PTA","FWD",,7,,,22859,"Ariana Grundy","Lester",FALSE,"non-scoring","FWD",97,5,39,2,"Lester","Z.Butters","PTA","FWD","FWD","2021-04-11 18:00:40",,,,0.739,0.739
992049,601,"Jayden","Short","RIC","DEF",,7,,116,6510,"The Big Short","Luke",TRUE,"scoring","DEF",100,5,40,1,"Kappaz","J.Short","RIC","DEF","DEF","2021-04-11 18:00:45",0.436,,,,0.436
291969,359,"Stephen","Coniglio","GWS","MID",,7,,,6510,"The Big Short","Luke",FALSE,"non-scoring","MID",80,6,41,1,"Kappaz","S.Coniglio","GWS","MID","MID","2021-04-11 18:00:50",,-1.984,,,-1.984
295518,98,"Sam","Docherty","CAR","DEF",,7,,87,22859,"Ariana Grundy","Lester",TRUE,"scoring","DEF",98,6,42,2,"Lester","S.Docherty","CAR","DEF","DEF","2021-04-11 18:00:57",0.22,,,,0.22
295265,369,"Nick","Haynes","GWS","DEF",,7,,,,,,,,,60.5,6,43,3,"Chief","N.Haynes","GWS","DEF","DEF","2021-04-11 18:01:02",-3.83,,,,-3.83
291790,721,"Adam","Treloar","WBD","MID",,7,,97,23345,"Pink Lloyd","Jordan",TRUE,"scoring","MID",108,6,44,4,"Jmerc","A.Treloar","WBD","MID","MID","2021-04-11 18:01:07",,0.339,,,0.339
291313,147,"Jeremy","Howe","COL","DEF",,7,,,20323,"La MacRaena","Anthony",FALSE,"non-scoring","DEF",83,6,45,5,"Melons","J.Howe","COL","DEF","DEF","2021-04-11 18:01:13",-1.4,,,,-1.4
998172,391,"Tim","Taranto","GWS","MID",,7,,139,2016,"At Witts End","Paul",TRUE,"scoring","MID",102,6,46,6,"Pmac","T.Taranto","GWS","MID","MID","2021-04-11 18:01:18",,-0.159,,,-0.159
250365,525,"Travis","Boak","PTA","MID",,7,,,2018,"Surviving J.Kelly","Mark",FALSE,"non-scoring","MID",113,6,47,7,"Richo","T.Boak","PTA","MID","MID","2021-04-11 18:01:22",,0.754,,,0.754
260257,162,"Scott","Pendlebury","COL","MID",,7,,96,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID",102,6,48,8,"Garter","S.Pendlebury","COL","MID","MID","2021-04-11 18:01:28",,-0.159,,,-0.159
270919,558,"Tom","Rockliff","PTA","MID",,7,,,,,,,,,25,7,49,8,"Garter","T.Rockliff","PTA","MID","MID","2021-04-11 18:01:52",,-6.549,,,-6.549
996487,430,"Tom","Phillips","HAW","FWD","MID",7,,65,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","FWD",82,7,50,7,"Richo","T.Phillips","HAW","FWD MID","FWD","2021-04-11 18:01:58",,-1.818,,-0.623,-0.623
294685,129,"Zac","Williams","CAR","DEF",,7,,,2016,"At Witts End","Paul",FALSE,"non-scoring","DEF",87,7,51,6,"Pmac","Z.Williams","CAR","DEF","DEF","2021-04-11 18:02:05",-0.968,,,,-0.968
