"","feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
"1",290528,448,"Max","Gawn","MEL","RUC",NA,11,NA,120,125.727,120.333,107.2,614700,6510,"The Big Short","Luke",TRUE,"scoring","RUC"
"2",293535,74,"Lachie","Neale","BRL","MID",NA,11,NA,NA,96.5,112.667,100.4,578700,23413,"The West Wingard","Simon",FALSE,"non-scoring","MID"
"3",296205,642,"Jack","Steele","STK","MID",NA,11,NA,154,115.909,123,114,576900,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID"
"4",996701,466,"Clayton","Oliver","MEL","MID",NA,11,NA,139,127.727,161,144.8,693200,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID"
"5",295342,666,"Jake","Lloyd","SYD","DEF",NA,11,NA,142,108.818,112.667,111.6,548000,23345,"Pink Lloyd","Jordan",TRUE,"scoring","DEF"
"6",295467,711,"Jack","Macrae","WBD","MID",NA,11,NA,145,128,136.333,124.4,637500,20323,"La MacRaena","Anthony",TRUE,"scoring","MID"
"7",293957,144,"Brodie","Grundy","COL","RUC",NA,11,NA,76,121.909,107.667,119,627700,22859,"Ariana Grundy","Lester",TRUE,"scoring","RUC"
"8",298210,467,"Christian","Petracca","MEL","MID",NA,11,NA,105,104.273,107.333,97.4,528300,23413,"The West Wingard","Simon",TRUE,"scoring","MID"
"9",297373,689,"Marcus","Bontempelli","WBD","MID",NA,11,NA,125,124.455,137.333,134.8,665600,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID"
"10",992016,200,"Zach","Merrett","ESS","MID",NA,11,NA,119,109,100,107.6,541800,2016,"At Witts End","Paul",TRUE,"scoring","MID"
"11",294557,704,"Lachie","Hunter","WBD","MID",NA,11,NA,126,90.8,112.667,100.8,492200,6510,"The Big Short","Luke",TRUE,"scoring","MID"
"12",296347,377,"Josh","Kelly","GWS","MID",NA,11,NA,122,103.727,118.667,119.2,562300,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID"
